,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
54,6,sat,2015-09-19,15:00,Aston Villa,0,1,West Brom,36.321,Villa Park,Martin Atkinson,12165
55,6,sat,2015-09-19,15:00,Bournemouth,2,0,Sunderland,11.271,Vitality Stadium,Kevin Friend,12166
56,6,sat,2015-09-19,15:00,Stoke City,2,2,Leicester City,27.642,Bet365 Stadium,Andre Marriner,12170
57,6,sat,2015-09-19,17:30,Manchester City,1,2,West Ham,53.545,Etihad Stadium,Robert Madley,12168
58,6,dom,2015-09-20,13:30,Tottenham,1,0,Crystal Palace,35.723,White Hart Lane,Michael Oliver,12174
59,6,dom,2015-09-20,16:00,Liverpool,1,1,Norwich City,44.072,Anfield,Anthony Taylor,12172
60,6,dom,2015-09-20,16:00,Southampton,2,3,Manchester Utd,31.588,St. Mary's Stadium,Mark Clattenburg,12173
61,7,sat,2015-09-26,12:45,Tottenham,4,1,Manchester City,35.867,White Hart Lane,Mark Clattenburg,12181
62,7,sat,2015-09-26,15:00,Stoke City,2,1,Bournemouth,27.742,Bet365 Stadium,Lee Mason,12180
63,7,sat,2015-09-26,15:00,Manchester Utd,3,0,Sunderland,75.328,Old Trafford,Mike Jones,12177
64,7,sat,2015-09-26,15:00,Leicester City,2,5,Arsenal,32.047,King Power Stadium,Craig Pawson,12175
