,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
257,26,sat,2016-02-13,17:30,Chelsea,5,1,Newcastle Utd,41.622,Stamford Bridge,Roger East,12366
258,26,dom,2016-02-14,12:00,Arsenal,2,1,Leicester City,60.009,Emirates Stadium,Martin Atkinson,12372
259,26,dom,2016-02-14,14:05,Aston Villa,0,6,Liverpool,35.798,Villa Park,Niel Swarbrick,12373
260,26,dom,2016-02-14,16:15,Manchester City,1,2,Tottenham,54.551,Etihad Stadium,Mark Clattenburg,12374
261,27,sat,2016-02-27,12:45,West Ham,1,0,Sunderland,34.946,Boleyn Ground,Mike Dean,12380
262,27,sat,2016-02-27,15:00,Leicester City,1,0,Norwich City,32.114,King Power Stadium,Niel Swarbrick,12375
263,27,sat,2016-02-27,15:00,Stoke City,2,1,Aston Villa,27.703,Bet365 Stadium,Kevin Friend,12377
264,27,sat,2016-02-27,15:00,Watford,0,0,Bournemouth,20.831,Vicarage Road Stadium,Anthony Taylor,12378
265,27,sat,2016-02-27,15:00,Southampton,1,2,Chelsea,31.688,St. Mary's Stadium,Martin Atkinson,12376
266,27,sat,2016-02-27,17:30,West Brom,3,2,Crystal Palace,24.806,The Hawthorns,Jonathan Moss,12379
267,27,dom,2016-02-28,14:05,Manchester Utd,3,2,Arsenal,75.329,Old Trafford,Craig Pawson,12381
268,27,dom,2016-02-28,14:05,Tottenham,2,1,Swansea City,35.922,White Hart Lane,Mike Jones,12382
269,28,tue,2016-03-01,19:45,Leicester City,2,2,West Brom,32.018,King Power Stadium,Mark Clattenburg,12385
270,28,tue,2016-03-01,19:45,Norwich City,1,2,Chelsea,27.091,Carrow Road,Lee Mason,12386
271,28,tue,2016-03-01,19:45,Aston Villa,1,3,Everton,29.755,Villa Park,Roger East,12383
272,28,tue,2016-03-01,19:45,Bournemouth,2,0,Southampton,11.033,Vitality Stadium,Mike Dean,12384
273,28,tue,2016-03-01,19:45,Sunderland,2,2,Crystal Palace,39.795,Stadium of Light,Anthony Taylor,12387
274,28,wed,2016-03-02,19:45,Stoke City,1,0,Newcastle Utd,27.331,Bet365 Stadium,Niel Swarbrick,12391
275,28,wed,2016-03-02,19:45,West Ham,1,0,Tottenham,34.977,Boleyn Ground,Andre Marriner,12392
276,28,wed,2016-03-02,19:45,Arsenal,1,2,Swansea City,59.905,Emirates Stadium,Robert Madley,12388
277,28,wed,2016-03-02,20:00,Manchester Utd,1,0,Watford,75.272,Old Trafford,Mike Jones,12390
278,28,wed,2016-03-02,20:00,Liverpool,3,0,Manchester City,43.597,Anfield,Martin Atkinson,12389
279,29,sat,2016-03-05,12:45,Tottenham,2,2,Arsenal,35.762,White Hart Lane,Michael Oliver,12399
280,29,sat,2016-03-05,15:00,Swansea City,1,0,Norwich City,20.929,Liberty Stadium,Craig Pawson,12398
281,29,sat,2016-03-05,15:00,Manchester City,4,0,Aston Villa,53.892,Etihad Stadium,Lee Mason,12395
282,29,sat,2016-03-05,15:00,Everton,2,3,West Ham,39.000,Goodison Park,Anthony Taylor,12394
283,29,sat,2016-03-05,15:00,Newcastle Utd,1,3,Bournemouth,52.107,St. James' Park,Paul Tierney,12396
284,29,sat,2016-03-05,15:00,Southampton,1,1,Sunderland,31.458,St. Mary's Stadium,Niel Swarbrick,12397
285,29,sat,2016-03-05,15:00,Chelsea,1,1,Stoke City,41.381,Stamford Bridge,Mark Clattenburg,12393
286,29,sat,2016-03-05,17:30,Watford,0,1,Leicester City,20.884,Vicarage Road Stadium,Jonathan Moss,12400
287,29,dom,2016-03-06,13:30,Crystal Palace,1,2,Liverpool,24.709,Selhurst Park,Andre Marriner,12401
288,29,dom,2016-03-06,16:00,West Brom,1,0,Manchester Utd,24.878,The Hawthorns,Mike Dean,12402
289,30,sat,2016-03-12,12:45,Norwich City,0,0,Manchester City,26.323,Carrow Road,Jonathan Moss,12404
