,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester City,Sergio Agüero,10,ARG,FW,90,0,0,0,0,5,0,0,0,1,4,1,1,0,0,0,,,,,,
1,Manchester City,Raheem Sterling,7,ENG,FW,25,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,,
2,Manchester City,Fernando,6,BRA,MF,65,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,,,,,,
3,Manchester City,David Silva,21,ESP,LM,90,0,0,0,0,0,0,0,0,0,2,0,11,1,0,0,,,,,,
4,Manchester City,Jesús Navas,15,ESP,CM,90,0,0,0,0,4,1,0,0,1,1,0,10,1,0,0,,,,,,
5,Manchester City,Fernandinho,25,BRA,CM,90,0,0,0,0,2,0,0,0,3,0,0,2,2,2,0,,,,,,
6,Manchester City,Yaya Touré,42,CIV,RM,90,0,0,0,0,3,0,0,0,0,1,1,2,2,1,0,,,,,,
7,Manchester City,Gaël Clichy,22,FRA,LB,90,0,0,0,0,1,0,0,0,0,0,0,2,2,6,0,,,,,,
8,Manchester City,Eliaquim Mangala,20,FRA,CB,90,0,0,0,0,0,0,1,0,2,0,0,0,2,5,0,,,,,,
9,Manchester City,Martín Demichelis,26,ARG,CB,52,0,0,0,0,1,0,0,0,1,2,0,0,4,4,0,,,,,,
10,Manchester City,Wilfried Bony,14,CIV,FW,38,0,0,0,0,7,1,0,0,1,0,0,0,0,1,0,,,,,,
11,Manchester City,Bacary Sagna,3,FRA,RB,90,0,0,0,0,1,1,0,0,0,0,0,2,2,4,0,,,,,,
12,Manchester City,Joe Hart,1,ENG,GK,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,1.0,1.0,50.0
13,Manchester City,Willy Caballero,13,ARG,GK,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,0.0,2.0,100.0
0,Manchester Utd,Marcus Rashford,19,ENG,FW,90,1,0,0,0,2,1,0,0,0,1,0,1,2,0,0,,,,,,
1,Manchester Utd,Anthony Martial,11,FRA,LW,90,0,0,0,0,2,2,0,0,2,1,0,1,1,0,0,,,,,,
2,Manchester Utd,Morgan Schneiderlin,28,FRA,AM,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,,,,
3,Manchester Utd,Jesse Lingard,14,ENG,AM,90,0,0,0,0,0,0,0,0,4,3,0,1,2,1,0,,,,,,
4,Manchester Utd,Juan Mata,8,ESP,RW,69,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,,,,,,
5,Manchester Utd,Bastian Schweinsteiger,31,GER,"DF,MF",21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,
6,Manchester Utd,Michael Carrick,16,ENG,DM,90,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,
7,Manchester Utd,Marcos Rojo,5,ARG,LB,62,0,0,0,0,1,1,0,0,1,0,0,3,1,3,0,,,,,,
8,Manchester Utd,Antonio Valencia,25,ECU,"DF,MF",28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
9,Manchester Utd,Daley Blind,17,NED,CB,90,0,0,0,0,0,0,0,0,1,0,0,4,5,5,0,,,,,,
10,Manchester Utd,Chris Smalling,12,ENG,CB,90,0,0,0,0,0,0,1,0,3,1,0,0,1,3,0,,,,,,
11,Manchester Utd,Matteo Darmian,36,ITA,RB,83,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,,,,,,
12,Manchester Utd,Timothy Fosu-Mensah,24,NED,DF,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,
13,Manchester Utd,David de Gea,1,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,0.0,3.0,100.0
