,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Everton,Romelu Lukaku,10,BEL,FW,89,0,1,0,0,2,1,0,0,1,2,3,1,0,0,0,,,,,,
1,Everton,Steven Naismith,14,SCO,"FW,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
2,Everton,Tom Cleverley,15,ENG,AM,90,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,,,,,,
3,Everton,Ross Barkley,20,ENG,AM,90,1,0,0,0,4,2,0,0,1,2,0,2,0,2,0,,,,,,
4,Everton,Kevin Mirallas,11,BEL,AM,76,0,0,0,0,1,0,0,0,0,1,1,10,2,0,0,,,,,,
5,Everton,Bryan Oviedo,8,CRC,"DF,MF",14,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,,,,,,
6,Everton,Gareth Barry,18,ENG,DM,90,0,0,0,0,1,1,0,0,0,1,0,2,2,1,0,,,,,,
7,Everton,James McCarthy,16,IRL,DM,90,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,,,,,,
8,Everton,Brendan Galloway,32,ZIM,LB,62,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,,,,
9,Everton,Arouna Koné,9,CIV,FW,28,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,,,,,,
10,Everton,Phil Jagielka,6,ENG,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,
11,Everton,John Stones,5,ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,,,,,,
12,Everton,Séamus Coleman,23,IRL,RB,90,0,0,0,0,0,0,1,0,1,2,0,9,1,2,0,,,,,,
13,Everton,Tim Howard,24,USA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,2.0,3.0,60.0
0,Watford,Troy Deeney,9,ENG,FW,90,0,1,0,0,3,1,1,0,1,1,1,0,0,0,0,,,,,,
1,Watford,José Manuel Jurado,7,ESP,AM,73,0,0,0,0,1,0,0,0,3,0,0,2,1,0,0,,,,,,
2,Watford,Odion Ighalo,24,NGA,FW,17,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,
3,Watford,Miguel Layún,19,MEX,DM,58,1,0,0,0,2,1,0,0,1,1,0,1,2,2,0,,,,,,
4,Watford,Juan Carlos Paredes,14,ECU,"DF,MF",32,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,,,,,,
5,Watford,Valon Behrami,11,SUI,DM,78,0,0,0,0,0,0,0,0,2,0,0,0,4,3,0,,,,,,
6,Watford,Ben Watson,23,ENG,MF,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,Watford,Étienne Capoue,29,FRA,DM,90,0,0,0,0,1,1,0,0,1,1,0,0,2,5,0,,,,,,
8,Watford,Ikechi Anya,21,SCO,DM,90,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,,,,,,
9,Watford,José Holebas,25,GRE,LB,90,0,0,0,0,1,1,1,0,0,0,0,5,1,4,0,,,,,,
10,Watford,Craig Cathcart,15,NIR,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,,,,,,
11,Watford,Sebastian Prödl,5,AUT,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,,,,,,
12,Watford,Allan Nyom,2,CMR,RB,90,0,0,0,0,0,0,0,0,1,2,0,3,5,3,0,,,,,,
13,Watford,Heurelho Gomes,1,BRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,5.0,2.0,3.0,60.0
