,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,West Brom,Saido Berahino,18,BDI,FW,78,1,0,0,0,2,2,0,0,2,1,1,2,1,0,0,,,,,,
1,West Brom,Craig Gardner,8,ENG,MF,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,
2,West Brom,Salomón Rondón,9,VEN,FW,70,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,,,,,
3,West Brom,Rickie Lambert,17,ENG,FW,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,West Brom,James McClean,14,IRL,RM,90,0,0,0,0,1,0,0,0,0,4,1,7,0,0,0,,,,,,
5,West Brom,Claudio Yacob,5,ARG,CM,90,0,0,0,0,1,0,1,0,1,0,0,1,4,1,0,,,,,,
6,West Brom,Darren Fletcher,24,SCO,CM,90,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,,,,,,
7,West Brom,Stéphane Sessègnon,29,BEN,LM,90,0,0,0,0,1,0,0,0,2,2,0,5,1,1,0,,,,,,
8,West Brom,Chris Brunt,11,NIR,LB,90,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,,,,,,
9,West Brom,Jonny Evans,6,NIR,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,,,,,,
10,West Brom,Gareth McAuley,23,NIR,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,
11,West Brom,Craig Dawson,25,ENG,RB,90,0,0,0,0,1,0,1,0,2,2,0,4,1,2,0,,,,,,
12,West Brom,Boaz Myhill,13,WAL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,0.0,2.0,100.0
0,Sunderland,Steven Fletcher,26,SCO,FW,74,0,0,0,0,1,0,0,0,2,1,3,0,1,0,0,,,,,,
1,Sunderland,Danny Graham,19,ENG,FW,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,
2,Sunderland,Fabio Borini,9,ITA,FW,90,0,0,0,0,0,0,1,0,4,4,0,4,0,0,0,,,,,,
3,Sunderland,Jordi Gómez,14,ESP,LM,70,0,0,0,0,1,0,0,0,0,2,0,3,1,1,0,,,,,,
4,Sunderland,Jermain Defoe,18,ENG,FW,20,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,,,,,,
5,Sunderland,Lee Cattermole,6,ENG,CM,90,0,0,0,0,1,0,0,0,2,1,0,1,1,0,0,,,,,,
6,Sunderland,Seb Larsson,7,SWE,RM,60,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,
7,Sunderland,Adam Johnson,11,ENG,MF,30,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,,,,,,
8,Sunderland,Yann M'Vila,21,FRA,CM,90,0,0,0,0,2,1,0,0,0,0,0,0,3,3,0,,,,,,
9,Sunderland,Billy Jones,2,ENG,LB,90,0,0,0,0,2,1,0,0,0,0,1,3,2,3,0,,,,,,
10,Sunderland,Younès Kaboul,15,FRA,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,
11,Sunderland,John O'Shea,16,IRL,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,
12,Sunderland,DeAndre Yedlin,24,USA,RB,90,0,0,0,0,0,0,0,0,4,1,0,1,2,0,0,,,,,,
13,Sunderland,Costel Pantilimon,1,ROU,GK,90,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,2.0,1.0,1.0,50.0
