,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Norwich City,Dieumerci Mbokani,9,COD,FW,90,1,0,0,0,1,1,0,0,2,5,1,0,1,0,0,,,,,,
1,Norwich City,Steven Naismith,7,SCO,AM,81,1,0,0,0,1,1,0,0,1,4,0,0,1,0,0,,,,,,
2,Norwich City,Cameron Jerome,10,ENG,FW,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,Norwich City,Wes Hoolahan,14,IRL,DM,69,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,,,,,,
4,Norwich City,Martin Olsson,23,SWE,"DF,MF",21,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,,,,,,
5,Norwich City,Jonny Howson,8,ENG,DM,90,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,,,,,,
6,Norwich City,Graham Dorrans,4,SCO,AM,90,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,
7,Norwich City,Nathan Redmond,22,ENG,AM,69,0,0,0,0,0,0,0,0,2,0,0,4,2,1,0,,,,,,
8,Norwich City,Matt Jarvis,16,ENG,MF,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,
9,Norwich City,Robbie Brady,12,IRL,LB,90,0,0,0,0,0,0,0,0,1,0,0,3,4,3,0,,,,,,
10,Norwich City,Sébastien Bassong,6,CMR,CB,90,1,0,0,0,2,2,0,0,1,1,0,0,2,3,0,,,,,,
11,Norwich City,Russell Martin,5,SCO,CB,90,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,
12,Norwich City,Ivo Pinto,25,POR,RB,90,0,0,0,0,0,0,0,0,1,1,0,4,1,4,0,,,,,,
13,Norwich City,Declan Rudd,13,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.0,5.0,2.0,28.6
0,Liverpool,Roberto Firmino,11,BRA,FW,90,2,1,0,0,4,3,0,0,2,1,1,1,1,0,0,,,,,,
1,Liverpool,Jordon Ibe,33,ENG,FW,58,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,,,,,,
2,Liverpool,Adam Lallana,20,ENG,"FW,MF",32,1,1,0,0,1,1,1,0,0,1,2,1,1,0,0,,,,,,
3,Liverpool,James Milner,7,ENG,FW,90,1,1,0,0,2,1,0,0,1,1,0,5,1,1,0,,,,,,
4,Liverpool,Emre Can,23,GER,CM,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,,,
5,Liverpool,Lucas Leiva,21,BRA,CM,90,0,0,0,0,0,0,0,0,2,1,0,0,4,5,0,,,,,,
6,Liverpool,Jordan Henderson,14,ENG,CM,75,1,0,0,0,2,1,0,0,0,1,0,0,2,0,0,,,,,,
7,Liverpool,Christian Benteke,9,BEL,FW,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,
8,Liverpool,Alberto Moreno,18,ESP,RB,89,0,0,0,0,2,1,0,0,4,1,0,1,2,2,0,,,,,,
9,Liverpool,Steven Caulker,19,SLE,DF,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
10,Liverpool,Mamadou Sakho,17,FRA,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,,,,,,
11,Liverpool,Kolo Touré,4,CIV,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,,,,
12,Liverpool,Nathaniel Clyne,2,ENG,LB,90,0,0,0,0,1,0,0,0,1,0,0,1,4,2,0,,,,,,
13,Liverpool,Simon Mignolet,22,BEL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,4.0,1.0,25.0
