,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester Utd,Wayne Rooney,10,ENG,FW,90,0,0,0,0,1,0,0,0,2,1,0,4,1,0,0,,,,,,
1,Manchester Utd,Anthony Martial,11,FRA,AM,90,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,,,,,,
2,Manchester Utd,Ander Herrera,21,ESP,AM,90,0,0,0,0,1,0,0,0,2,1,0,2,4,2,0,,,,,,
3,Manchester Utd,Juan Mata,8,ESP,AM,66,0,0,0,0,0,0,1,0,1,0,0,5,1,0,0,,,,,,
4,Manchester Utd,Jesse Lingard,14,ENG,"FW,MF",24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Manchester Utd,Bastian Schweinsteiger,31,GER,DM,74,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,,,,,,
6,Manchester Utd,Marouane Fellaini,27,BEL,MF,16,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,,,,,,
7,Manchester Utd,Morgan Schneiderlin,28,FRA,DM,90,0,0,0,0,0,0,1,0,2,0,0,0,2,4,0,,,,,,
8,Manchester Utd,Marcos Rojo,5,ARG,LB,90,0,0,0,0,1,0,0,0,2,1,0,4,3,2,0,,,,,,
9,Manchester Utd,Chris Smalling,12,ENG,CB,90,0,0,0,0,2,1,0,0,2,0,0,0,1,1,0,,,,,,
10,Manchester Utd,Phil Jones,4,ENG,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,,,
11,Manchester Utd,Antonio Valencia,25,ECU,RB,80,0,0,0,0,0,0,0,0,4,2,0,2,1,1,0,,,,,,
12,Manchester Utd,Matteo Darmian,36,ITA,"DF,MF",10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
13,Manchester Utd,David de Gea,1,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,1.0,100.0
0,Manchester City,Wilfried Bony,14,CIV,FW,82,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,,,,,,
1,Manchester City,Kelechi Iheanacho,72,NGA,"FW,MF",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Manchester City,Raheem Sterling,7,ENG,AM,54,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,,,,,,
3,Manchester City,Jesús Navas,15,ESP,"DF,MF",36,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,,,,,
4,Manchester City,Yaya Touré,42,CIV,AM,76,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,,,,,,
5,Manchester City,Martín Demichelis,26,ARG,"DF,MF",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,Manchester City,Kevin De Bruyne,17,BEL,AM,90,0,0,0,0,1,0,0,0,1,2,0,9,2,0,0,,,,,,
7,Manchester City,Fernandinho,25,BRA,DM,90,0,0,0,0,0,0,1,0,1,3,0,1,4,1,0,,,,,,
8,Manchester City,Fernando,6,BRA,DM,90,0,0,0,0,0,0,0,0,1,1,0,0,3,5,0,,,,,,
9,Manchester City,Aleksandar Kolarov,11,SRB,LB,90,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,,,,,,
10,Manchester City,Nicolás Otamendi,30,ARG,CB,90,0,0,0,0,0,0,0,0,1,3,0,0,3,3,0,,,,,,
11,Manchester City,Vincent Kompany,4,BEL,CB,90,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,,,,,,
12,Manchester City,Bacary Sagna,3,FRA,RB,90,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,,,,,,
13,Manchester City,Joe Hart,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,1.0,100.0
