,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Liverpool,Christian Benteke,9,BEL,FW,90,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,,,,,,
1,Liverpool,Philippe Coutinho,10,BRA,FW,51,0,0,0,0,3,0,2,1,1,0,0,0,1,0,0,,,,,,
2,Liverpool,Roberto Firmino,11,BRA,FW,60,0,0,0,0,2,0,0,0,3,2,0,1,1,0,0,,,,,,
3,Liverpool,Danny Ings,28,ENG,FW,30,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,,,,,,
4,Liverpool,James Milner,7,ENG,CM,90,0,0,0,0,2,0,0,0,4,2,0,6,0,1,0,,,,,,
5,Liverpool,Lucas Leiva,21,BRA,CM,90,0,0,0,0,0,0,1,0,2,2,0,2,2,1,0,,,,,,
6,Liverpool,Emre Can,23,GER,CM,45,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,,,,,,
7,Liverpool,Alberto Moreno,18,ESP,"DF,MF",45,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,,,,,,
8,Liverpool,Joe Gomez,12,ENG,LB,77,0,0,0,0,1,0,0,0,0,1,0,3,2,1,0,,,,,,
9,Liverpool,Jordon Ibe,33,ENG,"FW,MF",13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
10,Liverpool,Dejan Lovren,6,CRO,RB,90,0,0,0,0,2,1,0,0,2,1,0,2,1,0,0,,,,,,
11,Liverpool,Martin Škrtel,37,SVK,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,,,,,,
12,Liverpool,Nathaniel Clyne,2,ENG,CB,90,0,0,0,0,0,0,1,0,2,1,0,4,1,1,0,,,,,,
13,Liverpool,Simon Mignolet,22,BEL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,3.0,2.0,40.0
0,West Ham,Diafra Sakho,15,SEN,FW,89,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,,,,,,
1,West Ham,Josh Cullen,39,IRL,"DF,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,West Ham,Dimitri Payet,27,FRA,FW,87,0,0,0,0,0,0,0,0,1,4,0,8,1,1,0,,,,,,
3,West Ham,Matt Jarvis,7,ENG,MF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
4,West Ham,Manuel Lanzini,10,ARG,FW,81,1,0,0,0,3,1,1,0,1,0,0,1,6,1,0,,,,,,
5,West Ham,Reece Oxford,35,ENG,DF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
6,West Ham,Mark Noble,16,ENG,CM,77,1,0,0,0,2,1,1,1,1,5,0,1,1,1,0,,,,,,
7,West Ham,Pedro Obiang,14,EQG,CM,90,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,,,,,,
8,West Ham,Cheikhou Kouyaté,8,SEN,CM,90,0,0,0,0,3,1,0,0,3,1,0,0,4,0,0,,,,,,
9,West Ham,Aaron Cresswell,3,ENG,RB,90,0,1,0,0,2,1,0,0,1,1,0,4,0,3,0,,,,,,
10,West Ham,Angelo Ogbonna,21,ITA,LB,90,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,,,,,,
11,West Ham,Winston Reid,2,NZL,CB,90,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,,,,,,
12,West Ham,James Tomkins,5,ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,
13,West Ham,Darren Randolph,1,IRL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,1.0,100.0
