,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Bournemouth,Benik Afobe,9,COD,FW,71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,
1,Bournemouth,Lewis Grabban,28,ENG,"FW,MF",19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,
2,Bournemouth,Junior Stanislas,19,ENG,LM,90,0,0,0,0,1,0,0,0,0,1,0,6,1,2,0,,,,,,
3,Bournemouth,Dan Gosling,4,ENG,CM,90,0,0,0,0,2,1,0,0,2,1,0,0,3,1,0,,,,,,
4,Bournemouth,Harry Arter,8,IRL,CM,79,1,0,0,0,3,1,0,0,1,0,0,0,3,1,0,,,,,,
5,Bournemouth,Glenn Murray,27,ENG,FW,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
6,Bournemouth,Matt Ritchie,30,SCO,RM,49,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,
7,Bournemouth,Juan Iturbe,12,PAR,"FW,MF",41,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,,,,,,
8,Bournemouth,Andrew Surman,6,ENG,CM,90,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,,,,,,
9,Bournemouth,Charlie Daniels,11,ENG,LB,90,0,0,0,0,1,1,0,0,0,0,0,1,3,2,0,,,,,,
10,Bournemouth,Steve Cook,3,ENG,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,,,,,,
11,Bournemouth,Simon Francis,2,ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
12,Bournemouth,Adam Smith,15,ENG,RB,90,0,0,0,0,2,0,1,0,2,1,0,1,1,2,0,,,,,,
13,Bournemouth,Artur Boruc,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.0,3.0,3.0,50.0
0,West Ham,Andy Carroll,9,ENG,FW,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
1,West Ham,Nikica Jelavić,26,CRO,FW,76,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,,,,,,
2,West Ham,Michail Antonio,30,JAM,AM,90,0,0,0,0,2,1,0,0,0,3,0,3,0,3,0,,,,,,
3,West Ham,Dimitri Payet,27,FRA,AM,77,1,1,0,0,2,2,1,0,0,0,0,9,2,0,0,,,,,,
4,West Ham,Alex Song,4,CMR,"DF,MF",13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,
5,West Ham,Enner Valencia,11,ECU,AM,90,2,0,0,0,3,2,0,0,1,0,2,0,2,0,0,,,,,,
6,West Ham,Mark Noble,16,ENG,DM,90,0,0,0,0,2,0,0,0,0,1,0,1,3,2,0,,,,,,
7,West Ham,Pedro Obiang,14,EQG,DM,90,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,,,,,,
8,West Ham,Aaron Cresswell,3,ENG,LB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
9,West Ham,Angelo Ogbonna,21,ITA,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,,,
10,West Ham,James Collins,19,WAL,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
11,West Ham,James Tomkins,5,ENG,RB,60,0,0,0,0,1,0,0,0,1,0,0,0,5,2,0,,,,,,
12,West Ham,Carl Jenkinson,12,ENG,DF,30,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,,,,,
13,West Ham,Adrián,13,ESP,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,4.0,1.0,3.0,75.0
