,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Sunderland,Steven Fletcher,26,SCO,FW,84,1,0,0,0,3,1,0,0,4,1,1,0,2,1,0,,,,,,
1,Sunderland,Jack Rodwell,8,ENG,"DF,MF",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
2,Sunderland,Fabio Borini,9,ITA,AM,90,0,0,0,0,3,0,0,0,3,4,1,0,1,0,0,,,,,,
3,Sunderland,Ola Toivonen,20,SWE,AM,83,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,,,,,,
4,Sunderland,Seb Larsson,7,SWE,MF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Sunderland,Jeremain Lens,17,NED,AM,56,1,0,0,0,3,1,2,1,2,2,0,1,3,0,0,,,,,,
6,Sunderland,Lee Cattermole,6,ENG,DM,90,0,0,0,0,0,0,1,0,0,0,0,1,2,5,0,,,,,,
7,Sunderland,Yann M'Vila,21,FRA,DM,89,0,1,0,0,1,0,0,0,0,0,0,3,1,1,0,,,,,,
8,Sunderland,Jordi Gómez,14,ESP,MF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,Sunderland,Billy Jones,2,ENG,LB,90,0,0,0,0,0,0,0,0,2,1,0,2,6,0,0,,,,,,
10,Sunderland,John O'Shea,16,IRL,CB,90,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,,,,,,
11,Sunderland,Sebastián Coates,22,URU,CB,90,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,,,,,,
12,Sunderland,DeAndre Yedlin,24,USA,RB,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,,,
13,Sunderland,Costel Pantilimon,1,ROU,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.0,2.0,4.0,66.7
0,West Ham,Diafra Sakho,15,SEN,FW,90,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,,,,,,
1,West Ham,Victor Moses,20,NGA,AM,57,0,1,0,0,1,0,0,0,2,2,0,3,0,2,0,,,,,,
2,West Ham,Nikica Jelavić,26,CRO,FW,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,
3,West Ham,Dimitri Payet,27,FRA,AM,90,1,0,0,0,2,2,0,0,0,2,0,11,0,0,0,,,,,,
4,West Ham,Manuel Lanzini,10,ARG,AM,90,0,0,0,0,4,1,0,0,1,1,1,1,0,2,0,,,,,,
5,West Ham,Mark Noble,16,ENG,DM,78,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,,,,,,
6,West Ham,Mauro Zárate,10,ARG,"FW,MF",12,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,,,,,,
7,West Ham,Cheikhou Kouyaté,8,SEN,DM,90,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,
8,West Ham,Aaron Cresswell,3,ENG,LB,90,0,0,0,0,1,1,1,0,2,1,0,5,3,2,0,,,,,,
9,West Ham,Winston Reid,2,NZL,CB,65,0,0,0,0,0,0,1,0,1,2,0,0,3,1,0,,,,,,
10,West Ham,James Collins,19,WAL,DF,25,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,,,
11,West Ham,James Tomkins,5,ENG,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,,,,,,
12,West Ham,Carl Jenkinson,12,ENG,RB,90,1,0,0,0,1,1,1,0,3,2,0,5,2,0,0,,,,,,
13,West Ham,Adrián,13,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,2.0,1.0,33.3
