,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester City,Sergio Agüero,10,ARG,FW,90,1,0,0,0,4,1,0,0,1,1,1,1,0,0,0,,,,,,
1,Manchester City,Kelechi Iheanacho,72,NGA,FW,70,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,,,,,,
2,Manchester City,Raheem Sterling,7,ENG,"FW,MF",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,Manchester City,Kevin De Bruyne,17,BEL,LM,90,1,0,0,0,3,2,0,0,0,1,1,10,2,1,0,,,,,,
4,Manchester City,Fernando,6,BRA,CM,78,0,0,0,0,0,0,0,0,2,1,0,0,2,5,0,,,,,,
5,Manchester City,Yaya Touré,42,CIV,MF,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6,Manchester City,Fernandinho,25,BRA,CM,90,0,1,0,0,1,0,1,0,6,3,0,0,2,1,0,,,,,,
7,Manchester City,Jesús Navas,15,ESP,RM,78,0,0,0,0,1,0,0,0,0,1,0,5,1,1,0,,,,,,
8,Manchester City,Wilfried Bony,14,CIV,FW,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,
9,Manchester City,Gaël Clichy,22,FRA,LB,90,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,,,,,,
10,Manchester City,Eliaquim Mangala,20,FRA,CB,90,0,0,0,0,1,0,0,0,3,0,0,0,2,2,0,,,,,,
11,Manchester City,Nicolás Otamendi,30,ARG,CB,90,0,0,0,0,0,0,1,0,2,1,0,0,5,6,0,,,,,,
12,Manchester City,Bacary Sagna,3,FRA,RB,90,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,,,,,,
13,Manchester City,Joe Hart,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,2.0,0.0,0.0
0,Arsenal,Olivier Giroud,12,FRA,FW,90,1,1,0,0,2,1,0,0,3,5,1,2,1,0,0,,,,,,
1,Arsenal,Danny Welbeck,23,ENG,FW,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,
2,Arsenal,Jack Wilshere,10,ENG,MF,67,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,,,,,,
3,Arsenal,Alex Iwobi,17,NGA,LM,58,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,
4,Arsenal,Theo Walcott,14,ENG,"FW,MF",32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,
5,Arsenal,Alexis Sánchez,7,CHI,CM,90,1,0,0,0,1,1,0,0,1,5,1,3,2,3,0,,,,,,
6,Arsenal,Aaron Ramsey,16,WAL,CM,90,0,0,0,0,1,0,0,0,2,4,0,0,5,1,0,,,,,,
7,Arsenal,Mohamed Elneny,35,EGY,RM,75,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,,,,,
8,Arsenal,Francis Coquelin,34,FRA,"DF,MF",15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,
9,Arsenal,Nacho Monreal,18,ESP,LB,90,0,0,0,0,0,0,0,0,1,0,0,2,1,5,0,,,,,,
10,Arsenal,Laurent Koscielny,6,FRA,CB,90,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,,,,,,
11,Arsenal,Gabriel Paulista,5,BRA,CB,90,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,,,,,,
12,Arsenal,Héctor Bellerín,24,ESP,RB,90,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,,,,,,
13,Arsenal,Petr Čech,33,CZE,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,2.0,1.0,33.3
