,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Swansea City,Bafétimbi Gomis,18,FRA,FW,84,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,,,,,,
1,Swansea City,Éder,17,POR,FW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Swansea City,Jefferson Montero,20,ECU,AM,78,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,,,,,,
3,Swansea City,Modou Barrow,58,GAM,"FW,MF",12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,
4,Swansea City,Gylfi Sigurðsson,23,ISL,AM,90,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,,,,,,
5,Swansea City,André Ayew,10,GHA,AM,90,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,,,,,,
6,Swansea City,Ki Sung-yueng,4,KOR,DM,84,0,0,0,0,0,0,1,0,4,1,0,0,1,2,0,,,,,,
7,Swansea City,Leon Britton,7,ENG,MF,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,Swansea City,Jonjo Shelvey,8,ENG,DM,90,0,0,0,0,1,0,0,0,0,1,0,5,0,3,0,,,,,,
9,Swansea City,Neil Taylor,3,WAL,LB,90,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,
10,Swansea City,Ashley Williams,6,WAL,CB,90,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,,,,,,
11,Swansea City,Federico Fernández,33,ARG,CB,90,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,,,,,,
12,Swansea City,Kyle Naughton,26,ENG,RB,90,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0,,,,,,
13,Swansea City,Łukasz Fabiański,1,POL,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,5.0,3.0,2.0,40.0
0,Arsenal,Olivier Giroud,12,FRA,FW,83,1,0,0,0,2,1,0,0,3,2,0,1,1,0,0,,,,,,
1,Arsenal,Calum Chambers,21,ENG,"DF,MF",7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,
2,Arsenal,Alexis Sánchez,7,CHI,AM,90,0,0,0,0,4,0,0,0,1,4,0,1,1,1,0,,,,,,
3,Arsenal,Mesut Özil,11,GER,AM,89,0,1,0,0,1,1,0,0,0,1,1,5,0,1,0,,,,,,
4,Arsenal,Alex Iwobi,17,NGA,"FW,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Arsenal,Joel Campbell,28,CRC,AM,83,1,0,0,0,4,2,0,0,0,2,0,2,3,2,0,,,,,,
6,Arsenal,Kieran Gibbs,3,ENG,"DF,MF",7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
7,Arsenal,Santi Cazorla,19,ESP,DM,90,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,,,,,,
8,Arsenal,Francis Coquelin,34,FRA,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,,,,,,
9,Arsenal,Nacho Monreal,18,ESP,LB,90,0,0,0,0,1,0,0,0,1,1,0,3,4,5,0,,,,,,
10,Arsenal,Laurent Koscielny,6,FRA,CB,90,1,0,0,0,2,1,0,0,0,2,0,0,1,5,0,,,,,,
11,Arsenal,Per Mertesacker,4,GER,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
12,Arsenal,Héctor Bellerín,24,ESP,RB,90,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,,,,,,
13,Arsenal,Petr Čech,33,CZE,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,0.0,3.0,100.0
