,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Bournemouth,Joshua King,17,NOR,FW,62,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,,,,,,
1,Bournemouth,Callum Wilson,13,ENG,FW,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
2,Bournemouth,Lewis Grabban,28,ENG,FW,62,0,0,0,0,3,2,0,0,1,0,0,2,2,0,0,,,,,,
3,Bournemouth,Benik Afobe,9,COD,FW,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
4,Bournemouth,Marc Pugh,7,ENG,RM,90,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,,,,,,
5,Bournemouth,Andrew Surman,6,ENG,CM,90,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,
6,Bournemouth,Dan Gosling,4,ENG,CM,90,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,,,,,,
7,Bournemouth,Junior Stanislas,19,ENG,LM,77,0,0,0,0,2,0,0,0,1,1,0,2,3,0,0,,,,,,
8,Bournemouth,Matt Ritchie,30,SCO,"DF,MF",13,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,,,,,,
9,Bournemouth,Charlie Daniels,11,ENG,LB,90,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,,,,,,
10,Bournemouth,Steve Cook,3,ENG,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,
11,Bournemouth,Tommy Elphick,5,ENG,CB,90,1,0,0,0,2,1,0,0,1,0,0,0,1,3,0,,,,,,
12,Bournemouth,Simon Francis,2,ENG,RB,90,0,1,0,0,0,0,0,0,3,0,0,9,4,2,0,,,,,,
13,Bournemouth,Artur Boruc,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,4.0,0.0,0.0
0,Chelsea,Diego Costa,19,ESP,FW,90,0,0,0,0,2,0,0,0,0,1,3,0,1,0,0,,,,,,
1,Chelsea,Willian,22,BRA,LM,82,1,0,0,0,4,1,0,0,0,2,0,5,1,0,0,,,,,,
2,Chelsea,Ruben Loftus-Cheek,14,ENG,MF,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,
3,Chelsea,Eden Hazard,10,BEL,FW,90,2,0,0,0,3,2,0,0,0,2,0,2,1,1,0,,,,,,
4,Chelsea,Pedro,11,ESP,CM,90,1,0,0,0,4,1,0,0,0,0,0,0,1,1,0,,,,,,
5,Chelsea,Nemanja Matić,21,SRB,RM,90,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,,,,,,
6,Chelsea,Cesc Fàbregas,4,ESP,CM,90,0,1,0,0,2,0,0,0,0,1,0,3,3,0,0,,,,,,
7,Chelsea,Baba Rahman,6,GHA,LB,90,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,,,,,,
8,Chelsea,Branislav Ivanović,2,SRB,CB,90,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,,,,,,
9,Chelsea,John Obi Mikel,12,NGA,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,,,,
10,Chelsea,César Azpilicueta,28,ESP,RB,90,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,,,,,,
11,Chelsea,Asmir Begović,1,BIH,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,4.0,1.0,3.0,75.0
