,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Everton,Romelu Lukaku,10,BEL,FW,90,1,0,0,0,5,2,1,0,0,2,0,1,1,0,0,,,,,,
1,Everton,Steven Naismith,14,SCO,AM,78,0,0,0,0,1,1,0,0,3,3,0,1,1,2,0,,,,,,
2,Everton,Arouna Koné,9,CIV,FW,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
3,Everton,Ross Barkley,20,ENG,AM,90,0,0,0,0,3,0,1,0,2,5,0,7,1,0,0,,,,,,
4,Everton,Gerard Deulofeu,19,ESP,AM,59,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,
5,Everton,Aaron Lennon,12,ENG,"FW,MF",31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,
6,Everton,Gareth Barry,18,ENG,DM,90,0,0,0,0,1,0,0,0,1,1,0,2,3,1,0,,,,,,
7,Everton,James McCarthy,16,IRL,DM,90,0,0,0,0,1,1,1,0,2,2,0,0,6,1,0,,,,,,
8,Everton,Brendan Galloway,32,ZIM,LB,90,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,,,,,,
9,Everton,Ramiro Funes Mori,25,ARG,CB,90,0,0,0,0,1,0,0,0,0,1,1,0,4,5,0,,,,,,
10,Everton,Phil Jagielka,6,ENG,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,
11,Everton,Tyias Browning,27,CHN,RB,90,0,0,0,0,1,0,0,0,2,1,0,3,3,0,0,,,,,,
12,Everton,Tim Howard,24,USA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,4.0,1.0,3.0,75.0
0,Liverpool,Danny Ings,28,ENG,FW,75,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,,,,
1,Liverpool,Adam Lallana,20,ENG,"FW,MF",15,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,,,,
2,Liverpool,Daniel Sturridge,15,ENG,FW,90,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,,,,,,
3,Liverpool,Philippe Coutinho,10,BRA,AM,90,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,,,,,,
4,Liverpool,Lucas Leiva,21,BRA,DM,78,0,0,0,0,0,0,1,0,7,1,0,0,6,0,0,,,,,,
5,Liverpool,Joe Allen,24,WAL,MF,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,,,,
6,Liverpool,James Milner,7,ENG,DM,90,0,1,0,0,2,1,0,0,4,3,0,8,2,0,0,,,,,,
7,Liverpool,Alberto Moreno,18,ESP,DM,90,0,0,0,0,0,0,0,0,1,1,0,6,2,0,0,,,,,,
8,Liverpool,Nathaniel Clyne,2,ENG,DM,90,0,0,0,0,0,0,0,0,1,2,0,4,1,2,0,,,,,,
9,Liverpool,Mamadou Sakho,17,FRA,CB,90,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,,,,,
10,Liverpool,Martin Škrtel,37,SVK,CB,90,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,,,,,,
11,Liverpool,Emre Can,23,GER,CB,90,0,0,0,0,0,0,1,0,2,0,0,1,3,4,0,,,,,,
12,Liverpool,Simon Mignolet,22,BEL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,4.0,1.0,3.0,75.0
