,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Aston Villa,Jordan Ayew,19,GHA,FW,90,1,0,0,0,1,1,1,0,2,1,0,1,2,0,0,,,,,,
1,Aston Villa,Idrissa Gana Gueye,8,SEN,CM,90,0,1,0,0,1,0,1,0,3,4,0,0,2,0,0,,,,,,
2,Aston Villa,Kieran Richardson,18,ENG,LM,83,0,0,0,0,1,0,0,0,3,1,0,2,0,1,0,,,,,,
3,Aston Villa,Jack Grealish,40,ENG,"FW,MF",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Aston Villa,Ashley Westwood,15,ENG,CM,90,0,0,0,0,1,0,0,0,0,0,0,6,3,1,0,,,,,,
5,Aston Villa,Jordan Lyden,38,AUS,RM,45,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,
6,Aston Villa,Rudy Gestede,39,BEN,FW,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
7,Aston Villa,Scott Sinclair,9,ENG,FW,70,0,0,0,0,0,0,0,0,0,2,1,3,3,2,0,,,,,,
8,Aston Villa,Adama Traoré,20,ESP,"FW,MF",20,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,,,,,,
9,Aston Villa,Aly Cissokho,43,FRA,LB,90,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,,,,,,
10,Aston Villa,Ciaran Clark,6,IRL,CB,90,0,0,0,0,2,0,0,0,1,1,0,0,2,2,0,,,,,,
11,Aston Villa,Joleon Lescott,16,ENG,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,,,,,,
12,Aston Villa,Leandro Bacuna,7,CUW,RB,90,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,,,,,,
13,Aston Villa,Brad Guzan,1,USA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,2.0,1.0,33.3
0,Bournemouth,Joshua King,17,NOR,FW,89,1,0,0,0,2,1,0,0,3,2,0,0,1,0,0,,,,,,
1,Bournemouth,Callum Wilson,13,ENG,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Bournemouth,Lewis Grabban,28,ENG,FW,86,0,0,0,0,1,1,0,0,1,1,0,0,4,0,0,,,,,,
3,Bournemouth,Shaun MacDonald,16,WAL,MF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Bournemouth,Max Gradel,10,CIV,LM,57,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,,,,,,
5,Bournemouth,Marc Pugh,7,ENG,"FW,MF",33,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0,,,,,,
6,Bournemouth,Dan Gosling,4,ENG,CM,90,0,0,0,0,1,0,0,0,1,1,0,1,1,5,0,,,,,,
7,Bournemouth,Andrew Surman,6,ENG,CM,90,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,,,,,,
8,Bournemouth,Matt Ritchie,30,SCO,RM,90,0,0,0,0,1,0,0,0,1,2,0,4,2,0,0,,,,,,
9,Bournemouth,Charlie Daniels,11,ENG,LB,90,0,0,0,0,1,0,1,0,1,1,0,1,1,2,0,,,,,,
10,Bournemouth,Steve Cook,3,ENG,CB,90,1,0,0,0,2,1,1,0,1,0,0,0,2,6,0,,,,,,
11,Bournemouth,Tommy Elphick,5,ENG,CB,90,0,0,0,0,1,0,0,0,1,4,0,0,0,3,0,,,,,,
12,Bournemouth,Simon Francis,2,ENG,RB,90,0,1,0,0,0,0,0,0,0,1,0,6,1,1,0,,,,,,
13,Bournemouth,Artur Boruc,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,1.0,0.0,0.0
