,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Chelsea,Diego Costa,19,ESP,FW,75,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,,,,,,
1,Chelsea,Loïc Rémy,18,FRA,FW,15,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,,,,,
2,Chelsea,Pedro,11,ESP,AM,90,1,0,0,0,3,1,0,0,0,4,0,5,1,2,0,,,,,,
3,Chelsea,Oscar,8,BRA,AM,81,1,0,1,1,5,2,0,0,1,1,0,3,3,0,0,,,,,,
4,Chelsea,Ramires,7,BRA,MF,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
5,Chelsea,Willian,22,BRA,AM,90,0,1,0,0,3,2,0,0,0,2,0,4,0,0,0,,,,,,
6,Chelsea,Nemanja Matić,21,SRB,DM,90,0,0,0,0,0,0,1,0,2,1,0,1,2,1,0,,,,,,
7,Chelsea,Cesc Fàbregas,4,ESP,DM,70,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,,,,,,
8,Chelsea,John Obi Mikel,12,NGA,MF,20,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,,,,,,
9,Chelsea,César Azpilicueta,28,ESP,LB,90,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,,,,,,
10,Chelsea,John Terry,26,ENG,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,,,
11,Chelsea,Kurt Zouma,5,FRA,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,,,,,,
12,Chelsea,Branislav Ivanović,2,SRB,RB,90,1,0,0,0,2,1,0,0,2,0,0,4,0,4,0,,,,,,
13,Chelsea,Thibaut Courtois,13,BEL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,1.0,2.0,66.7
0,Sunderland,Jermain Defoe,18,ENG,FW,90,0,0,0,0,3,1,0,0,1,1,2,0,0,0,0,,,,,,
1,Sunderland,Duncan Watmore,41,ENG,CM,78,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,,,,,,
2,Sunderland,Danny Graham,19,ENG,FW,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,
3,Sunderland,Jack Rodwell,8,ENG,CM,90,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,,,,,,
4,Sunderland,Yann M'Vila,21,FRA,CM,90,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,,,,,,
5,Sunderland,Ola Toivonen,20,SWE,LM,45,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,,,,,,
6,Sunderland,Fabio Borini,9,ITA,"FW,MF",45,1,0,0,0,3,1,0,0,0,4,0,0,2,2,0,,,,,,
7,Sunderland,Patrick van Aanholt,3,NED,LB,90,0,0,0,0,3,0,0,0,0,1,0,1,2,2,0,,,,,,
8,Sunderland,Younès Kaboul,15,FRA,CB,90,0,0,0,0,1,1,0,0,0,0,0,0,3,4,0,,,,,,
9,Sunderland,John O'Shea,16,IRL,CB,90,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,,,,,,
10,Sunderland,Sebastián Coates,22,URU,CB,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
11,Sunderland,Adam Johnson,11,ENG,MF,68,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,,,,,,
12,Sunderland,Billy Jones,2,ENG,RB,90,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,,,,,,
13,Sunderland,Costel Pantilimon,1,ROU,GK,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,6.0,3.0,4.0,66.7
