,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester Utd,Wayne Rooney,10,ENG,FW,90,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,,,,,,
1,Manchester Utd,Anthony Martial,11,FRA,AM,90,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,,,,,,
2,Manchester Utd,Ander Herrera,21,ESP,AM,90,0,0,0,0,1,0,0,0,0,1,0,3,3,1,0,,,,,,
3,Manchester Utd,Marouane Fellaini,27,BEL,DM,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,
4,Manchester Utd,Juan Mata,8,ESP,"FW,MF",45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,
5,Manchester Utd,Morgan Schneiderlin,28,FRA,DM,90,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,,,,,,
6,Manchester Utd,Cameron Borthwick-Jackson,43,ENG,LB,85,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,,,,,,
7,Manchester Utd,Adnan Januzaj,11,BEL,"FW,MF",5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,
8,Manchester Utd,Jesse Lingard,14,ENG,AM,90,0,0,0,0,1,0,0,0,1,0,0,3,3,2,0,,,,,,
9,Manchester Utd,Daley Blind,17,NED,CB,90,0,0,0,0,1,1,0,0,0,1,0,3,0,3,0,,,,,,
10,Manchester Utd,Chris Smalling,12,ENG,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,,,,,,
11,Manchester Utd,Matteo Darmian,36,ITA,RB,59,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,,,,,,
12,Manchester Utd,Paddy McNair,33,NIR,"DF,MF",31,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,,,,,,
13,Manchester Utd,David de Gea,1,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,1.0,1.0,50.0
0,Southampton,Shane Long,7,IRL,FW,90,0,0,0,0,1,0,0,0,2,3,0,3,0,0,0,,,,,,
1,Southampton,Sadio Mané,10,SEN,AM,78,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,,,,
2,Southampton,Charlie Austin,10,ENG,FW,12,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,,,,,
3,Southampton,Dušan Tadić,11,SRB,AM,66,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,,,,,
4,Southampton,James Ward-Prowse,16,ENG,MF,24,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,,,,,,
5,Southampton,Jordy Clasie,4,NED,DM,66,0,0,0,0,0,0,0,0,0,1,0,2,3,6,0,,,,,,
6,Southampton,Oriol Romeu,14,ESP,MF,24,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,,,,,,
7,Southampton,Victor Wanyama,12,KEN,DM,90,0,0,0,0,2,0,0,0,1,1,0,0,1,6,0,,,,,,
8,Southampton,Matt Targett,33,ENG,AM,90,0,0,0,0,0,0,0,0,0,1,0,3,1,5,0,,,,,,
9,Southampton,Cédric Soares,2,POR,RB,90,0,0,0,0,1,0,0,0,0,0,0,2,1,5,0,,,,,,
10,Southampton,Ryan Bertrand,21,ENG,LB,90,0,0,0,0,0,0,0,0,1,1,0,3,0,5,0,,,,,,
11,Southampton,José Fonte,6,POR,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,
12,Southampton,Virgil van Dijk,17,NED,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,4,5,0,,,,,,
13,Southampton,Fraser Forster,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,1.0,100.0
