,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Leicester City,Jamie Vardy,9,ENG,FW,90,2,0,0,0,2,2,0,0,1,1,2,2,0,1,0,,,,,,
1,Leicester City,Shinji Okazaki,20,JPN,FW,86,0,0,0,0,3,1,0,0,2,3,1,0,1,1,0,,,,,,
2,Leicester City,Andy King,10,WAL,MF,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
3,Leicester City,Marc Albrighton,11,ENG,LM,78,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,
4,Leicester City,Demarai Gray,22,ENG,"FW,MF",12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,
5,Leicester City,N'Golo Kanté,14,FRA,CM,90,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,,,,,,
6,Leicester City,Danny Drinkwater,4,ENG,CM,90,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,,,,,,
7,Leicester City,Riyad Mahrez,26,ALG,RM,89,0,1,0,0,5,2,0,0,0,1,0,2,0,1,0,,,,,,
8,Leicester City,Leonardo Ulloa,23,ARG,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
9,Leicester City,Christian Fuchs,28,AUT,LB,90,0,0,0,0,1,1,0,0,0,0,0,3,2,4,0,,,,,,
10,Leicester City,Robert Huth,6,GER,CB,90,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,,,,,,
11,Leicester City,Wes Morgan,5,JAM,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,,,,
12,Leicester City,Danny Simpson,17,ENG,RB,90,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,,,,,,
13,Leicester City,Kasper Schmeichel,1,DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,1.0,100.0
0,Liverpool,Roberto Firmino,11,BRA,FW,86,0,0,0,0,2,0,0,0,1,0,0,3,2,0,0,,,,,,
1,Liverpool,João Carlos Teixeira,53,POR,MF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
2,Liverpool,James Milner,7,ENG,FW,90,0,0,0,0,1,0,0,0,1,1,0,8,3,1,0,,,,,,
3,Liverpool,Adam Lallana,20,ENG,FW,90,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,,,,,,
4,Liverpool,Jordan Henderson,14,ENG,CM,65,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,,,,,,
5,Liverpool,Christian Benteke,9,BEL,FW,25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,
6,Liverpool,Emre Can,23,GER,CM,74,0,0,0,0,5,1,0,0,0,0,1,1,2,0,0,,,,,,
7,Liverpool,Joe Allen,24,WAL,MF,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,
8,Liverpool,Lucas Leiva,21,BRA,CM,90,0,0,0,0,1,0,1,0,3,3,0,1,6,3,0,,,,,,
9,Liverpool,Alberto Moreno,18,ESP,LB,90,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,,,,,,
10,Liverpool,Mamadou Sakho,17,FRA,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,,,,
11,Liverpool,Dejan Lovren,6,CRO,CB,90,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,,,,,,
12,Liverpool,Nathaniel Clyne,2,ENG,RB,90,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,,,,,,
13,Liverpool,Simon Mignolet,22,BEL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,6.0,2.0,4.0,66.7
