,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Chelsea,Bertrand Traoré,14,BFA,FW,52,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,,,,,,
1,Chelsea,Tammy Abraham,42,ENG,FW,38,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,,,,,,
2,Chelsea,Pedro,11,ESP,CM,53,0,0,0,0,2,0,0,0,1,2,1,2,0,0,0,,,,,,
3,Chelsea,Ruben Loftus-Cheek,14,ENG,MF,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,
4,Chelsea,Eden Hazard,10,BEL,FW,90,0,0,0,0,1,0,0,0,1,2,2,1,2,0,0,,,,,,
5,Chelsea,Willian,22,BRA,LM,90,0,0,0,0,2,1,0,0,2,0,0,2,0,3,0,,,,,,
6,Chelsea,Nemanja Matić,21,SRB,CM,90,0,0,0,0,1,0,0,0,0,2,0,0,2,3,0,,,,,,
7,Chelsea,Cesc Fàbregas,4,ESP,RM,90,1,0,1,1,4,3,0,0,0,0,0,3,2,1,0,,,,,,
8,Chelsea,Baba Rahman,6,GHA,LB,90,0,0,0,0,1,0,0,0,0,1,0,5,8,4,0,,,,,,
9,Chelsea,Branislav Ivanović,2,SRB,CB,59,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,,,,
10,Chelsea,Fikayo Tomori,43,ENG,DF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
11,Chelsea,Gary Cahill,24,ENG,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,
12,Chelsea,César Azpilicueta,28,ESP,RB,90,0,0,0,0,0,0,0,0,1,2,0,1,3,2,0,,,,,,
13,Chelsea,Thibaut Courtois,13,BEL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,1.0,4.0,80.0
0,Leicester City,Jamie Vardy,9,ENG,FW,90,0,0,0,0,4,0,0,0,3,1,0,1,1,1,0,,,,,,
1,Leicester City,Demarai Gray,22,ENG,CM,45,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0,,,,,,
2,Leicester City,Jeffrey Schlupp,15,GHA,"DF,FW",45,0,1,0,0,3,1,0,0,2,1,0,1,1,2,0,,,,,,
3,Leicester City,Andy King,10,WAL,LM,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
4,Leicester City,Shinji Okazaki,20,JPN,"FW,MF",45,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,,,,,,
5,Leicester City,Riyad Mahrez,26,ALG,FW,79,0,0,0,0,1,1,0,0,2,1,0,5,1,0,0,,,,,,
6,Leicester City,Marc Albrighton,11,ENG,"DF,MF",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,Leicester City,Danny Drinkwater,4,ENG,RM,90,1,0,0,0,2,1,0,0,1,1,0,5,5,0,0,,,,,,
8,Leicester City,N'Golo Kanté,14,FRA,CM,90,0,0,0,0,1,0,0,0,1,0,0,0,8,5,0,,,,,,
9,Leicester City,Christian Fuchs,28,AUT,LB,90,0,0,0,0,1,0,0,0,0,0,0,3,1,2,0,,,,,,
10,Leicester City,Wes Morgan,5,JAM,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,,,,,,
11,Leicester City,Marcin Wasilewski,27,POL,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
12,Leicester City,Danny Simpson,17,ENG,RB,90,0,0,0,0,1,0,0,0,1,1,0,3,0,3,0,,,,,,
13,Leicester City,Kasper Schmeichel,1,DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,1.0,3.0,100.0
