,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Chelsea,Diego Costa,19,ESP,FW,90,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,,,,,,
1,Chelsea,Eden Hazard,10,BEL,AM,90,0,0,0,0,1,1,0,0,2,3,0,1,0,0,0,,,,,,
2,Chelsea,Oscar,8,BRA,AM,53,1,0,0,0,2,1,0,0,0,3,0,5,1,0,0,,,,,,
3,Chelsea,Asmir Begović,1,BIH,GK,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Chelsea,Willian,22,BRA,AM,83,0,0,0,0,1,0,0,0,0,2,0,6,1,1,0,,,,,,
5,Chelsea,Radamel Falcao,9,COL,FW,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
6,Chelsea,Nemanja Matić,21,SRB,DM,90,0,0,0,0,1,0,0,0,4,0,0,3,2,3,0,,,,,,
7,Chelsea,Cesc Fàbregas,4,ESP,DM,75,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,,,,,,
8,Chelsea,Kurt Zouma,5,FRA,DF,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
9,Chelsea,César Azpilicueta,28,ESP,LB,90,0,0,0,0,0,0,0,0,2,1,0,0,3,5,0,,,,,,
10,Chelsea,John Terry,26,ENG,CB,90,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,,,,,,
11,Chelsea,Gary Cahill,24,ENG,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,,,,,,
12,Chelsea,Branislav Ivanović,2,SRB,RB,90,0,0,0,0,3,0,0,0,1,0,0,3,2,2,0,,,,,,
13,Chelsea,Thibaut Courtois,13,BEL,GK,51,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,4.0,1.0,3.0,75.0
0,Swansea City,Bafétimbi Gomis,18,FRA,FW,78,1,0,1,1,5,2,0,0,1,3,4,0,0,0,0,,,,,,
1,Swansea City,Éder,17,POR,FW,12,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,,,,,,
2,Swansea City,Jefferson Montero,20,ECU,AM,70,0,0,0,0,2,2,0,0,0,1,0,7,1,0,0,,,,,,
3,Swansea City,Wayne Routledge,15,ENG,"FW,MF",20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
4,Swansea City,Gylfi Sigurðsson,23,ISL,AM,90,0,0,0,0,3,1,0,0,1,1,0,0,2,0,0,,,,,,
5,Swansea City,André Ayew,10,GHA,AM,90,1,0,0,0,3,3,0,0,1,3,0,0,2,0,0,,,,,,
6,Swansea City,Ki Sung-yueng,4,KOR,DM,40,0,0,0,0,1,1,0,0,2,0,0,0,1,2,0,,,,,,
7,Swansea City,Jack Cork,24,ENG,"DF,MF",50,0,0,0,0,0,0,1,0,1,4,0,0,2,4,0,,,,,,
8,Swansea City,Jonjo Shelvey,8,ENG,DM,90,0,0,0,0,1,0,1,0,2,0,0,9,1,0,0,,,,,,
9,Swansea City,Neil Taylor,3,WAL,LB,90,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,,,,,,
10,Swansea City,Ashley Williams,6,WAL,CB,90,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,,,,,,
11,Swansea City,Federico Fernández,33,ARG,CB,90,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1,,,,,,
12,Swansea City,Kyle Naughton,26,ENG,RB,90,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,,,,,,
13,Swansea City,Łukasz Fabiański,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,2.0,2.0,50.0
