,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Swansea City,Bafétimbi Gomis,18,FRA,FW,90,0,0,0,0,4,1,0,0,0,2,1,0,1,1,0,,,,,,
1,Swansea City,Jefferson Montero,20,ECU,AM,90,0,0,0,0,0,0,0,0,1,1,0,11,3,0,0,,,,,,
2,Swansea City,André Ayew,10,GHA,AM,79,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,,,,,,
3,Swansea City,Éder,17,POR,FW,11,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,
4,Swansea City,Modou Barrow,58,GAM,AM,58,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,,,,,,
5,Swansea City,Gylfi Sigurðsson,23,ISL,"FW,MF",32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,
6,Swansea City,Jonjo Shelvey,8,ENG,DM,90,0,0,0,0,6,1,1,0,0,0,0,2,1,1,0,,,,,,
7,Swansea City,Jack Cork,24,ENG,DM,58,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,,,,,
8,Swansea City,Ki Sung-yueng,4,KOR,MF,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,
9,Swansea City,Neil Taylor,3,WAL,LB,90,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,,,,,,
10,Swansea City,Ashley Williams,6,WAL,CB,90,0,0,0,0,0,0,1,0,2,0,0,0,2,3,0,,,,,,
11,Swansea City,Federico Fernández,33,ARG,CB,90,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,,,,,,
12,Swansea City,Àngel Rangel,22,ESP,RB,90,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,,,,,,
13,Swansea City,Łukasz Fabiański,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,1.0,1.0,100.0
0,Stoke City,Joselu,11,ESP,FW,90,0,0,0,0,1,0,0,0,3,3,1,0,3,0,0,,,,,,
1,Stoke City,Marko Arnautović,10,AUT,AM,74,0,0,0,0,1,0,0,0,3,0,1,0,2,3,0,,,,,,
2,Stoke City,Ibrahim Afellay,14,NED,"FW,MF",16,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,,,,,
3,Stoke City,Bojan Krkić,27,ESP,AM,78,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,,,,,,
4,Stoke City,Stephen Ireland,7,IRL,MF,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
5,Stoke City,Xherdan Shaqiri,22,SUI,AM,90,0,0,0,0,3,0,1,0,1,1,0,4,0,0,0,,,,,,
6,Stoke City,Charlie Adam,16,SCO,DM,69,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,,,,,,
7,Stoke City,Marco van Ginkel,15,NED,MF,21,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,,,,
8,Stoke City,Glenn Whelan,6,IRL,DM,90,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,,,,,,
9,Stoke City,Erik Pieters,3,NED,LB,90,0,0,0,0,0,0,1,0,1,0,0,3,1,2,0,,,,,,
10,Stoke City,Philipp Wollscheid,26,GER,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,
11,Stoke City,Geoff Cameron,20,USA,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,,,,,,
12,Stoke City,Glen Johnson,8,ENG,RB,90,0,0,0,0,1,0,0,0,1,0,0,2,4,1,0,,,,,,
13,Stoke City,Jack Butland,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,2.0,0.0,2.0,100.0
