,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Everton,Romelu Lukaku,10,BEL,FW,90,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,,,,,,
1,Everton,Arouna Koné,9,CIV,AM,63,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,
2,Everton,Steven Naismith,14,SCO,"FW,MF",27,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,
3,Everton,Ross Barkley,20,ENG,DM,90,0,0,0,0,3,1,0,0,0,1,0,4,1,0,0,,,,,,
4,Everton,Tom Cleverley,15,ENG,AM,85,0,0,0,0,0,0,0,0,0,1,0,10,3,2,0,,,,,,
5,Everton,Gerard Deulofeu,19,ESP,"FW,MF",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
6,Everton,Gareth Barry,18,ENG,DM,90,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,,,,,,
7,Everton,James McCarthy,16,IRL,AM,90,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,,,,,,
8,Everton,Brendan Galloway,32,ZIM,CB,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,Everton,Tyias Browning,27,CHN,DF,46,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,,,,
10,Everton,Phil Jagielka,6,ENG,CB,90,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,,,,,,
11,Everton,John Stones,5,ENG,RB,90,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,,,,,,
12,Everton,Séamus Coleman,23,IRL,LB,90,0,0,0,0,1,0,0,0,0,2,1,2,1,2,0,,,,,,
13,Everton,Tim Howard,24,USA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9.0,2.0,7.0,77.8
0,Manchester City,Sergio Agüero,10,ARG,FW,80,0,0,0,0,2,2,0,0,1,1,2,0,1,0,0,,,,,,
1,Manchester City,Wilfried Bony,14,CIV,FW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Manchester City,Raheem Sterling,7,ENG,DM,75,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,,,,,,
3,Manchester City,Samir Nasri,8,FRA,"FW,MF",15,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,,,,,,
4,Manchester City,David Silva,21,ESP,AM,89,0,0,0,0,3,1,0,0,0,2,0,6,1,1,0,,,,,,
5,Manchester City,Fabian Delph,18,ENG,"DF,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,Manchester City,Jesús Navas,15,ESP,AM,90,0,0,0,0,2,2,0,0,1,1,0,7,3,1,0,,,,,,
7,Manchester City,Yaya Touré,42,CIV,DM,90,0,1,0,0,3,1,0,0,0,0,0,2,2,2,0,,,,,,
8,Manchester City,Fernandinho,25,BRA,AM,90,0,0,0,0,0,0,1,0,2,0,0,0,2,2,0,,,,,,
9,Manchester City,Aleksandar Kolarov,11,SRB,RB,90,1,0,0,0,2,1,0,0,1,1,0,3,0,1,0,,,,,,
10,Manchester City,Eliaquim Mangala,20,FRA,CB,90,0,0,0,0,0,0,1,0,2,0,0,0,1,6,0,,,,,,
11,Manchester City,Vincent Kompany,4,BEL,CB,90,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,,,,,,
12,Manchester City,Bacary Sagna,3,FRA,LB,90,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,,,,,,
13,Manchester City,Joe Hart,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,1.0,100.0
