,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Bournemouth,Glenn Murray,27,ENG,FW,70,0,0,0,0,2,1,0,0,2,3,0,0,1,0,0,,,,,,
1,Bournemouth,Tokelo Rantie,9,RSA,FW,20,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,,,,,,
2,Bournemouth,Junior Stanislas,19,ENG,LW,90,0,0,0,0,2,0,0,0,0,2,0,5,1,1,0,,,,,,
3,Bournemouth,Dan Gosling,4,ENG,AM,89,0,0,0,0,2,1,0,0,1,0,0,0,3,4,0,,,,,,
4,Bournemouth,Yann Kermorgant,18,FRA,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Bournemouth,Harry Arter,8,IRL,AM,45,0,0,0,0,1,1,1,0,2,0,0,1,2,0,0,,,,,,
6,Bournemouth,Eunan O'Kane,32,IRL,MF,45,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,,,,,,
7,Bournemouth,Matt Ritchie,30,SCO,RW,90,0,0,0,0,0,0,0,0,0,2,0,10,3,1,0,,,,,,
8,Bournemouth,Andrew Surman,6,ENG,DM,90,0,0,0,0,1,0,0,0,1,1,0,0,0,8,0,,,,,,
9,Bournemouth,Charlie Daniels,11,ENG,LB,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,
10,Bournemouth,Steve Cook,3,ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
11,Bournemouth,Simon Francis,2,ENG,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,,,,
12,Bournemouth,Adam Smith,15,ENG,RB,90,0,0,0,0,0,0,0,0,1,3,0,2,6,1,0,,,,,,
13,Bournemouth,Artur Boruc,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,
0,Crystal Palace,Jordon Mutch,22,ENG,AM,45,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,,,,,,
1,Crystal Palace,Yohan Cabaye,7,FRA,MF,45,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,,,,,,
2,Crystal Palace,Fraizer Campbell,9,ENG,FW,67,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,,,,,,
3,Crystal Palace,Marouane Chamakh,29,MAR,FW,23,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,,,,
4,Crystal Palace,Jason Puncheon,42,ENG,AM,90,0,0,0,0,0,0,0,0,2,1,0,9,1,1,0,,,,,,
5,Crystal Palace,James McArthur,18,SCO,DM,90,0,0,0,0,1,0,0,0,2,0,0,1,3,1,0,,,,,,
6,Crystal Palace,Joe Ledley,28,WAL,DM,73,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,,,,,,
7,Crystal Palace,Mile Jedinak,15,AUS,MF,17,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,,,
8,Crystal Palace,Wilfried Zaha,11,CIV,AM,90,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,,,,,,
9,Crystal Palace,Pape Souaré,23,SEN,LB,90,0,0,0,0,0,0,0,0,3,1,0,6,0,3,0,,,,,,
10,Crystal Palace,Damien Delaney,27,IRL,CB,90,0,0,0,0,1,1,0,0,2,1,0,1,1,3,0,,,,,,
11,Crystal Palace,Scott Dann,6,ENG,CB,90,0,0,0,0,3,0,0,0,0,1,0,0,1,4,0,,,,,,
12,Crystal Palace,Joel Ward,2,ENG,RB,90,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,,,,,,
13,Crystal Palace,Wayne Hennessey,13,WAL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,0.0,4.0,100.0
