,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Bournemouth,Benik Afobe,9,COD,FW,76,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,,,,,,
1,Bournemouth,Lewis Grabban,28,ENG,"FW,MF",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Bournemouth,Marc Pugh,7,ENG,LW,90,0,0,0,0,1,0,0,0,1,0,0,4,3,0,0,,,,,,
3,Bournemouth,Harry Arter,8,IRL,AM,90,0,0,0,0,4,2,0,0,1,0,0,1,3,3,0,,,,,,
4,Bournemouth,Dan Gosling,4,ENG,AM,65,0,0,0,0,1,0,0,0,1,3,0,0,3,1,0,,,,,,
5,Bournemouth,Joshua King,17,NOR,"FW,MF",25,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,,,,,,
6,Bournemouth,Matt Ritchie,30,SCO,RW,65,0,0,0,0,5,0,0,0,0,1,0,4,1,1,0,,,,,,
7,Bournemouth,Junior Stanislas,19,ENG,MF,25,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,,,,,,
8,Bournemouth,Andrew Surman,6,ENG,DM,90,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,,,,,,
9,Bournemouth,Charlie Daniels,11,ENG,LB,90,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,,,,,,
10,Bournemouth,Steve Cook,3,ENG,CB,90,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,,,,,,
11,Bournemouth,Simon Francis,2,ENG,CB,90,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,,,,,,
12,Bournemouth,Adam Smith,15,ENG,RB,90,0,0,0,0,1,0,0,0,0,1,0,5,2,1,0,,,,,,
13,Bournemouth,Artur Boruc,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,2.0,3.0,60.0
0,Arsenal,Olivier Giroud,12,FRA,FW,89,0,1,0,0,1,1,0,0,2,0,1,1,0,2,0,,,,,,
1,Arsenal,Theo Walcott,14,ENG,"FW,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Arsenal,Alexis Sánchez,7,CHI,AM,81,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,,,,,,
3,Arsenal,Kieran Gibbs,3,ENG,"DF,MF",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
4,Arsenal,Mesut Özil,11,GER,AM,90,1,0,0,0,1,1,0,0,0,1,2,4,1,1,0,,,,,,
5,Arsenal,Alex Oxlade-Chamberlain,15,ENG,AM,66,1,0,0,0,2,1,0,0,0,0,0,1,3,1,0,,,,,,
6,Arsenal,Francis Coquelin,34,FRA,"DF,MF",24,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,
7,Arsenal,Aaron Ramsey,16,WAL,DM,90,0,1,0,0,3,1,0,0,4,3,0,1,5,4,0,,,,,,
8,Arsenal,Mathieu Flamini,20,FRA,DM,90,0,0,0,0,1,0,1,0,1,0,0,1,2,3,0,,,,,,
9,Arsenal,Nacho Monreal,18,ESP,LB,90,0,0,0,0,0,0,0,0,1,1,0,1,1,6,0,,,,,,
10,Arsenal,Laurent Koscielny,6,FRA,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,,,,
11,Arsenal,Gabriel Paulista,5,BRA,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,
12,Arsenal,Héctor Bellerín,24,ESP,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,
13,Arsenal,Petr Čech,33,CZE,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,4.0,0.0,4.0,100.0
