,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Norwich City,Dieumerci Mbokani,9,COD,FW,84,1,0,0,0,3,2,0,0,1,5,4,2,1,0,0,,,,,,
1,Norwich City,Cameron Jerome,10,ENG,FW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Norwich City,Steven Naismith,7,SCO,AM,80,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,,,,,,
3,Norwich City,Wes Hoolahan,14,IRL,MF,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
4,Norwich City,Robbie Brady,12,IRL,DM,90,0,1,0,0,2,1,0,0,1,1,0,10,0,0,0,,,,,,
5,Norwich City,Gary O'Neil,28,ENG,DM,90,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,,,,,,
6,Norwich City,Jonny Howson,8,ENG,DM,90,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,,,,,,
7,Norwich City,Matt Jarvis,16,ENG,DM,74,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,,,,,,
8,Norwich City,Nathan Redmond,22,ENG,"FW,MF",16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,
9,Norwich City,Martin Olsson,23,SWE,LB,90,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,,,,,,
10,Norwich City,Timm Klose,15,SUI,CB,90,1,0,0,0,2,1,0,0,0,1,0,0,1,2,0,,,,,,
11,Norwich City,Ryan Bennett,24,ENG,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,
12,Norwich City,Andre Wisdom,3,ENG,RB,90,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,,,,,,
13,Norwich City,John Ruddy,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,2.0,3.0,75.0
0,Newcastle Utd,Papiss Cissé,9,SEN,FW,90,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,,,,,,
1,Newcastle Utd,Moussa Sissoko,7,FRA,FW,90,0,0,0,0,0,0,0,0,2,1,0,6,2,0,0,,,,,,
2,Newcastle Utd,Georginio Wijnaldum,5,NED,LM,90,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,,,,,
3,Newcastle Utd,Andros Townsend,25,ENG,CM,90,0,1,0,0,2,1,0,0,0,0,0,7,0,0,0,,,,,,
4,Newcastle Utd,Cheick Tioté,24,CIV,CM,45,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,,,,,,
5,Newcastle Utd,Ayoze Pérez,17,ESP,"FW,MF",45,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,,,,,,
6,Newcastle Utd,Jonjo Shelvey,12,ENG,RM,90,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,,,,,,
7,Newcastle Utd,Vurnon Anita,8,CUW,LB,61,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,,,,,,
8,Newcastle Utd,Aleksandar Mitrović,45,SRB,FW,29,2,0,1,1,6,3,0,0,0,1,0,0,0,0,0,,,,,,
9,Newcastle Utd,Chancel Mbemba,18,COD,CB,90,0,0,0,0,1,0,0,0,3,0,0,0,1,3,0,,,,,,
10,Newcastle Utd,Steven Taylor,27,ENG,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,,,,
11,Newcastle Utd,Daryl Janmaat,22,NED,RB,90,0,0,0,0,0,0,0,0,1,0,1,7,1,1,0,,,,,,
12,Newcastle Utd,Karl Darlow,26,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.0,3.0,3.0,50.0
