,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester City,Sergio Agüero,10,ARG,FW,90,0,0,0,0,5,0,0,0,0,3,4,1,0,1,0,,,,,,
1,Manchester City,Raheem Sterling,7,ENG,AM,90,0,0,0,0,2,0,0,0,1,2,0,11,2,1,0,,,,,,
2,Manchester City,Yaya Touré,42,CIV,AM,90,0,0,0,0,5,2,0,0,1,2,0,0,0,0,0,,,,,,
3,Manchester City,David Silva,21,ESP,AM,90,0,0,0,0,2,0,0,0,2,1,0,3,3,1,0,,,,,,
4,Manchester City,Fernando,6,BRA,DM,65,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,,,,,,
5,Manchester City,Kelechi Iheanacho,72,NGA,"FW,MF",25,1,0,0,0,1,1,0,0,1,0,0,2,1,0,0,,,,,,
6,Manchester City,Fernandinho,25,BRA,DM,90,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,,,,,,
7,Manchester City,Gaël Clichy,22,FRA,LB,74,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,,,,,,
8,Manchester City,Aleksandar Kolarov,11,SRB,DF,16,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,,,,,,
9,Manchester City,Nicolás Otamendi,30,ARG,CB,90,0,0,0,0,2,1,0,0,0,1,0,0,2,5,0,,,,,,
10,Manchester City,Vincent Kompany,4,BEL,CB,90,0,0,0,0,1,0,1,0,2,0,0,0,2,2,0,,,,,,
11,Manchester City,Pablo Zabaleta,5,ARG,RB,90,0,0,0,0,0,0,0,0,1,2,0,2,5,2,0,,,,,,
12,Manchester City,Joe Hart,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,2.0,1.0,50.0
0,Tottenham,Harry Kane,10,ENG,FW,88,1,0,1,1,2,1,0,0,3,1,0,0,1,1,0,,,,,,
1,Tottenham,Nacer Chadli,22,BEL,"FW,MF",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Tottenham,Dele Alli,20,ENG,AM,80,0,0,0,0,0,0,0,0,3,5,0,0,2,2,0,,,,,,
3,Tottenham,Érik Lamela,11,ARG,"FW,MF",10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,
4,Tottenham,Christian Eriksen,23,DEN,AM,90,1,0,0,0,2,2,0,0,0,0,0,3,1,0,0,,,,,,
5,Tottenham,Son Heung-min,7,KOR,AM,71,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,,,,,,
6,Tottenham,Tom Carroll,28,ENG,MF,19,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,
7,Tottenham,Mousa Dembélé,19,BEL,DM,90,0,0,0,0,0,0,0,0,1,2,0,0,5,2,0,,,,,,
8,Tottenham,Eric Dier,15,ENG,DM,90,0,0,0,0,1,0,1,0,2,0,0,0,3,3,0,,,,,,
9,Tottenham,Danny Rose,3,ENG,LB,90,0,0,0,0,1,0,0,0,2,2,0,8,2,2,0,,,,,,
10,Tottenham,Kevin Wimmer,27,AUT,CB,90,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,,,,,,
11,Tottenham,Toby Alderweireld,4,BEL,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,,,,
12,Tottenham,Kyle Walker,2,ENG,RB,90,0,0,0,0,0,0,0,0,1,0,0,2,4,3,0,,,,,,
13,Tottenham,Hugo Lloris,1,FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,1.0,3.0,75.0
