,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Norwich City,Dieumerci Mbokani,9,COD,FW,90,0,0,0,0,1,1,0,0,2,4,1,0,0,0,0,,,,,,
1,Norwich City,Steven Naismith,7,SCO,AM,73,0,0,0,0,4,2,0,0,1,1,2,0,1,1,0,,,,,,
2,Norwich City,Vadis Odjidja-Ofoe,32,BEL,"DF,MF",17,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,,,,,
3,Norwich City,Matt Jarvis,16,ENG,DM,69,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,,,,,,
4,Norwich City,Cameron Jerome,10,ENG,FW,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Norwich City,Youssouf Mulumbu,18,COD,DM,90,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,,,,,,
6,Norwich City,Alexander Tettey,27,NOR,DM,90,0,0,0,0,2,0,1,0,2,0,0,0,1,3,0,,,,,,
7,Norwich City,Jonny Howson,8,ENG,DM,90,0,0,0,0,1,0,0,0,0,1,0,4,1,2,0,,,,,,
8,Norwich City,Martin Olsson,23,SWE,LB,90,0,0,0,0,0,0,0,0,1,1,0,7,3,3,0,,,,,,
9,Norwich City,Sébastien Bassong,6,CMR,CB,90,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,,,,,
10,Norwich City,Timm Klose,15,SUI,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,,,,
11,Norwich City,Ivo Pinto,25,POR,RB,90,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,,,,,,
12,Norwich City,Declan Rudd,13,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,3.0,3.0,60.0
0,Tottenham,Harry Kane,10,ENG,FW,90,2,0,1,1,6,3,0,0,1,0,0,2,1,0,0,,,,,,
1,Tottenham,Dele Alli,20,ENG,AM,45,1,0,0,0,2,1,0,0,0,1,0,2,1,0,0,,,,,,
2,Tottenham,Nacer Chadli,22,BEL,"FW,MF",45,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,,,,
3,Tottenham,Christian Eriksen,23,DEN,AM,89,0,1,0,0,3,2,0,0,0,1,0,9,3,0,0,,,,,,
4,Tottenham,Érik Lamela,11,ARG,"FW,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Tottenham,Son Heung-min,7,KOR,AM,69,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,,,,,,
6,Tottenham,Tom Carroll,28,ENG,MF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,Tottenham,Eric Dier,15,ENG,DM,90,0,0,0,0,2,0,0,0,1,1,0,0,0,4,0,,,,,,
8,Tottenham,Mousa Dembélé,19,BEL,DM,90,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,,,,,,
9,Tottenham,Danny Rose,3,ENG,LB,90,0,0,0,0,0,0,1,0,1,2,0,1,2,1,0,,,,,,
10,Tottenham,Kevin Wimmer,27,AUT,CB,90,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,,,,,,
11,Tottenham,Toby Alderweireld,4,BEL,CB,90,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,,,,,,
12,Tottenham,Kyle Walker,2,ENG,RB,90,0,0,0,0,0,0,0,0,0,2,0,2,3,2,0,,,,,,
13,Tottenham,Hugo Lloris,1,FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,0.0,2.0,100.0
