,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Bournemouth,Callum Wilson,13,ENG,FW,90,1,0,0,0,1,1,0,0,3,2,1,0,0,0,0,,,,,,
1,Bournemouth,Lee Tomlin,24,ENG,AM,90,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,,,,,,
2,Bournemouth,Max Gradel,10,CIV,DM,66,0,0,0,0,3,1,1,0,1,5,0,6,2,1,0,,,,,,
3,Bournemouth,Marc Pugh,7,ENG,"FW,MF",24,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,,,,
4,Bournemouth,Andrew Surman,6,ENG,DM,90,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,,,,
5,Bournemouth,Eunan O'Kane,32,IRL,DM,90,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,,,,,,
6,Bournemouth,Matt Ritchie,30,SCO,DM,90,0,0,0,0,0,0,0,0,0,2,0,6,2,1,0,,,,,,
7,Bournemouth,Charlie Daniels,11,ENG,CB,45,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,,,,,,
8,Bournemouth,Tyrone Mings,26,ENG,DF,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,
9,Bournemouth,Adam Smith,15,ENG,"DF,MF",34,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,,,,,,
10,Bournemouth,Steve Cook,3,ENG,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,,,,,,
11,Bournemouth,Tommy Elphick,5,ENG,RB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,,,,,,
12,Bournemouth,Simon Francis,2,ENG,LB,90,0,0,0,0,1,0,0,0,0,0,0,3,3,2,0,,,,,,
13,Bournemouth,Artur Boruc,1,POL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,1.0,1.0,100.0
0,Leicester City,Jamie Vardy,9,ENG,FW,90,1,0,1,1,2,1,0,0,0,2,0,4,0,1,0,,,,,,
1,Leicester City,Marc Albrighton,11,ENG,DM,70,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0,,,,,,
2,Leicester City,Joe Dodoo,36,ENG,"FW,MF",20,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,,,,
3,Leicester City,N'Golo Kanté,14,FRA,AM,90,0,0,0,0,0,0,0,0,1,0,0,2,8,5,0,,,,,,
4,Leicester City,Danny Drinkwater,4,ENG,DM,90,0,0,0,0,0,0,0,0,5,3,0,1,3,1,0,,,,,,
5,Leicester City,Riyad Mahrez,26,ALG,AM,45,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,,,,,,
6,Leicester City,Shinji Okazaki,20,JPN,"FW,MF",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,Leicester City,Andy King,10,WAL,AM,90,0,0,0,0,0,0,1,0,2,0,0,2,1,5,0,,,,,,
8,Leicester City,Jeffrey Schlupp,15,GHA,CB,90,0,0,0,0,2,1,1,0,3,0,0,3,2,3,0,,,,,,
9,Leicester City,Wes Morgan,5,JAM,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,,,,,,
10,Leicester City,Robert Huth,6,GER,LB,90,0,0,0,0,0,0,1,0,1,1,0,0,1,5,0,,,,,,
11,Leicester City,Ritchie De Laet,2,BEL,RB,89,0,0,0,0,0,0,1,0,2,0,0,1,3,4,0,,,,,,
12,Leicester City,Yohan Benalouane,29,TUN,DF,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,,,,
13,Leicester City,Kasper Schmeichel,1,DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,1.0,1.0,50.0
