,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Stoke City,Mame Biram Diouf,18,SEN,FW,80,0,0,0,0,2,2,0,0,0,2,1,1,1,0,0,,,,,,
1,Stoke City,Stephen Ireland,7,IRL,MF,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Stoke City,Ibrahim Afellay,14,NED,DM,24,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,,,
3,Stoke City,Charlie Adam,16,SCO,AM,30,0,0,0,0,2,1,0,1,1,1,0,2,1,0,0,,,,,,
4,Stoke City,Xherdan Shaqiri,22,SUI,DM,67,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,,,,,,
5,Stoke City,Marko Arnautović,10,AUT,"FW,MF",23,0,0,0,0,3,1,0,0,1,2,1,1,0,0,0,,,,,,
6,Stoke City,Marco van Ginkel,15,NED,AM,90,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,,,,,,
7,Stoke City,Glenn Whelan,6,IRL,AM,90,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,,,,,,
8,Stoke City,Erik Pieters,3,NED,CB,90,0,0,0,0,1,1,1,0,1,2,0,2,4,1,0,,,,,,
9,Stoke City,Marc Muniesa,5,ESP,CB,90,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,,,,,
10,Stoke City,Geoff Cameron,20,USA,RB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,
11,Stoke City,Glen Johnson,8,ENG,LB,62,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,,,,,,
12,Stoke City,Marc Wilson,12,IRL,"DF,MF",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
13,Stoke City,Jack Butland,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,1.0,4.0,80.0
0,West Brom,Salomón Rondón,9,VEN,FW,90,1,0,0,0,4,1,0,0,1,0,0,1,0,0,0,,,,,,
1,West Brom,James McClean,14,IRL,RM,62,0,0,0,0,0,0,0,0,1,0,1,13,0,1,0,,,,,,
2,West Brom,Cristian Gamboa,16,CRC,"DF,MF",28,0,0,0,0,1,0,1,0,1,1,1,2,1,2,0,,,,,,
3,West Brom,Craig Gardner,8,ENG,CM,45,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,,,,,,
4,West Brom,Callum McManaman,19,ENG,"FW,MF",45,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,,,,,,
5,West Brom,James Morrison,7,SCO,CM,90,0,0,0,0,3,2,0,0,0,1,0,1,1,3,0,,,,,,
6,West Brom,Claudio Yacob,5,ARG,LM,34,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,
7,West Brom,Rickie Lambert,17,ENG,FW,56,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,,,,,,
8,West Brom,Darren Fletcher,24,SCO,CM,90,0,0,0,0,1,0,0,0,0,1,0,1,3,2,0,,,,,,
9,West Brom,Joleon Lescott,6,ENG,LB,90,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,,
10,West Brom,Jonas Olsson,3,SWE,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,
11,West Brom,Gareth McAuley,23,NIR,CB,90,0,0,0,0,0,0,1,0,4,0,0,0,2,1,0,,,,,,
12,West Brom,Craig Dawson,25,ENG,RB,90,0,0,0,0,1,1,0,0,0,0,0,6,1,3,0,,,,,,
13,West Brom,Boaz Myhill,13,WAL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,0.0,4.0,100.0
