,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Arsenal,Olivier Giroud,12,FRA,FW,90,0,0,0,0,5,2,0,0,2,1,1,3,1,0,0,,,,,,
1,Arsenal,Santi Cazorla,19,ESP,AM,90,0,0,0,0,2,1,0,0,0,1,0,5,2,1,0,,,,,,
2,Arsenal,Mesut Özil,11,GER,AM,90,0,0,0,0,2,0,0,0,3,0,0,5,2,1,0,,,,,,
3,Arsenal,Alex Oxlade-Chamberlain,15,ENG,AM,90,0,0,0,0,3,0,0,0,0,1,1,4,1,1,0,,,,,,
4,Arsenal,Francis Coquelin,34,FRA,DM,57,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,,,,,,
5,Arsenal,Theo Walcott,14,ENG,"FW,MF",33,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,,,,
6,Arsenal,Aaron Ramsey,16,WAL,DM,90,0,0,0,0,2,0,0,0,3,0,0,3,0,5,0,,,,,,
7,Arsenal,Nacho Monreal,18,ESP,LB,90,0,0,0,0,0,0,1,0,1,2,0,5,1,0,0,,,,,,
8,Arsenal,Laurent Koscielny,6,FRA,CB,90,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,,,,,,
9,Arsenal,Per Mertesacker,4,GER,CB,90,0,0,0,0,1,1,0,0,0,0,1,0,3,4,0,,,,,,
10,Arsenal,Mathieu Debuchy,2,FRA,RB,66,0,0,0,0,1,0,0,0,1,1,0,5,0,1,0,,,,,,
11,Arsenal,Alexis Sánchez,7,CHI,"FW,MF",24,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,,,,,,
12,Arsenal,Petr Čech,33,CZE,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,2.0,2.0,50.0
0,West Ham,Diafra Sakho,15,SEN,FW,89,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,,,,,,
1,West Ham,Modibo Maïga,20,MLI,"FW,MF",1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,,,,,,
2,West Ham,Dimitri Payet,27,FRA,FW,90,0,1,0,0,1,0,0,0,0,1,0,4,1,0,0,,,,,,
3,West Ham,Mauro Zárate,10,ARG,FW,62,1,0,0,0,2,1,0,0,1,2,0,1,3,0,0,,,,,,
4,West Ham,Matt Jarvis,7,ENG,MF,28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,
5,West Ham,Mark Noble,16,ENG,CM,90,0,0,0,0,0,0,1,0,1,6,0,0,1,1,0,,,,,,
6,West Ham,Reece Oxford,35,ENG,DM,78,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,,,,,,
7,West Ham,Kevin Nolan,4,ENG,MF,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
8,West Ham,Cheikhou Kouyaté,8,SEN,CM,90,1,0,0,0,1,1,0,0,0,0,1,0,2,2,0,,,,,,
9,West Ham,Aaron Cresswell,3,ENG,LB,90,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,,,,,,
10,West Ham,Angelo Ogbonna,21,ITA,CB,90,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,,,,,,
11,West Ham,Winston Reid,2,NZL,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,,,,,,
12,West Ham,James Tomkins,5,ENG,RB,90,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,,,,,,
13,West Ham,Adrián,13,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.0,0.0,6.0,100.0
