,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Watford,Odion Ighalo,24,NGA,DM,70,1,0,0,0,3,2,0,0,0,3,0,0,0,0,0,,,,,,
1,Watford,Steven Berghuis,20,NED,"FW,MF",20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,,,,,
2,Watford,Troy Deeney,9,ENG,FW,83,0,1,0,0,3,0,0,0,0,0,0,1,1,2,0,,,,,,
3,Watford,Alessandro Diamanti,32,ITA,"FW,MF",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Watford,José Manuel Jurado,7,ESP,AM,90,0,0,0,0,2,0,0,0,0,2,0,5,1,2,0,,,,,,
5,Watford,Valon Behrami,11,SUI,AM,63,0,0,0,0,0,0,0,1,4,1,0,0,3,1,0,,,,,,
6,Watford,Étienne Capoue,29,FRA,AM,90,0,0,0,0,3,1,1,0,4,0,0,1,3,5,0,,,,,,
7,Watford,Almen Abdi,22,SUI,DM,65,0,0,0,0,3,1,0,0,1,0,0,2,2,1,0,,,,,,
8,Watford,Ben Watson,23,ENG,MF,25,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,,,,
9,Watford,Ikechi Anya,21,SCO,RB,90,0,0,0,0,0,0,0,0,0,3,0,3,1,3,0,,,,,,
10,Watford,Craig Cathcart,15,NIR,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
11,Watford,Sebastian Prödl,5,AUT,LB,90,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,,,,,,
12,Watford,Allan Nyom,2,CMR,CB,90,0,0,0,0,0,0,0,0,1,3,0,3,1,3,0,,,,,,
13,Watford,Heurelho Gomes,1,BRA,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,3.0,0.0,3.0,100.0
0,Swansea City,Bafétimbi Gomis,18,FRA,FW,90,0,0,0,0,2,2,0,0,0,2,5,0,0,0,0,,,,,,
1,Swansea City,Wayne Routledge,15,ENG,DM,59,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,,,,,,
2,Swansea City,Jefferson Montero,20,ECU,"FW,MF",31,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,,,,,,
3,Swansea City,Gylfi Sigurðsson,23,ISL,AM,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Swansea City,Éder,17,POR,FW,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,
5,Swansea City,André Ayew,10,GHA,DM,90,0,0,0,0,0,0,0,0,2,3,1,1,1,2,0,,,,,,
6,Swansea City,Jonjo Shelvey,8,ENG,AM,90,0,0,0,0,3,1,0,0,0,1,0,5,0,0,0,,,,,,
7,Swansea City,Jack Cork,24,ENG,AM,65,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,,,,,,
8,Swansea City,Ki Sung-yueng,4,KOR,MF,25,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,,,,,,
9,Swansea City,Neil Taylor,3,WAL,CB,90,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,,,,,,
10,Swansea City,Ashley Williams,6,WAL,LB,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,,,,
11,Swansea City,Federico Fernández,33,ARG,RB,90,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,,,,,,
12,Swansea City,Kyle Naughton,26,ENG,CB,90,0,0,0,0,0,0,0,0,2,0,0,3,1,2,0,,,,,,
13,Swansea City,Łukasz Fabiański,1,POL,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,6.0,1.0,5.0,83.3
