,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Stoke City,Bojan Krkić,27,ESP,FW,90,0,0,0,0,1,0,0,0,1,1,0,2,3,0,0,,,,,,
1,Stoke City,Marko Arnautović,10,AUT,AM,90,0,0,0,0,3,1,0,0,1,2,0,5,1,1,0,,,,,,
2,Stoke City,Ibrahim Afellay,14,NED,AM,90,0,0,0,0,3,0,0,0,1,4,0,2,2,0,0,,,,,,
3,Stoke City,Xherdan Shaqiri,22,SUI,AM,45,0,0,0,0,0,0,0,0,2,1,0,5,1,1,0,,,,,,
4,Stoke City,Joselu,11,ESP,FW,45,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,,,,,,
5,Stoke City,Giannelli Imbula,21,COD,DM,90,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,,,,,,
6,Stoke City,Glenn Whelan,6,IRL,DM,75,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,,,,,,
7,Stoke City,Charlie Adam,16,SCO,MF,15,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,,,,,,
8,Stoke City,Marc Muniesa,5,ESP,LB,90,0,0,0,0,0,0,0,0,1,2,0,3,3,0,0,,,,,,
9,Stoke City,Philipp Wollscheid,26,GER,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,,,,,,
10,Stoke City,Ryan Shawcross,17,ENG,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,,,,
11,Stoke City,Geoff Cameron,20,USA,RB,90,0,0,0,0,0,0,0,0,1,0,0,3,2,2,0,,,,,,
12,Stoke City,Shay Given,24,IRL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6.0,4.0,2.0,33.3
0,Tottenham,Harry Kane,10,ENG,FW,90,2,0,0,0,5,3,0,0,2,2,0,2,2,3,0,,,,,,
1,Tottenham,Christian Eriksen,23,DEN,AM,90,0,2,0,0,1,0,0,0,1,0,0,2,2,1,0,,,,,,
2,Tottenham,Dele Alli,20,ENG,AM,84,2,0,0,0,8,2,0,0,1,1,0,0,2,1,0,,,,,,
3,Tottenham,Nacer Chadli,22,BEL,"FW,MF",6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Tottenham,Érik Lamela,11,ARG,AM,89,0,1,0,0,1,1,0,0,2,2,1,4,1,0,0,,,,,,
5,Tottenham,Son Heung-min,7,KOR,"FW,MF",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,
6,Tottenham,Mousa Dembélé,19,BEL,DM,86,0,1,0,0,1,0,0,0,3,1,0,0,3,1,0,,,,,,
7,Tottenham,Ryan Mason,8,ENG,MF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,Tottenham,Eric Dier,15,ENG,DM,90,0,0,0,0,0,0,0,0,1,2,0,0,4,3,0,,,,,,
9,Tottenham,Danny Rose,3,ENG,LB,90,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,,,,,,
10,Tottenham,Jan Vertonghen,5,BEL,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,,,,,,
11,Tottenham,Toby Alderweireld,4,BEL,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,,,,,,
12,Tottenham,Kyle Walker,2,ENG,RB,90,0,0,0,0,1,0,0,0,1,2,0,2,4,2,0,,,,,,
13,Tottenham,Hugo Lloris,1,FRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,0.0,2.0,100.0
