,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Newcastle Utd,Aleksandar Mitrović,45,SRB,FW,61,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,,,,
1,Newcastle Utd,Papiss Cissé,9,SEN,FW,29,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,,,,,,
2,Newcastle Utd,Ayoze Pérez,17,ESP,FW,80,0,0,0,0,1,0,1,0,2,3,0,0,2,0,0,,,,,,
3,Newcastle Utd,Siem de Jong,10,NED,"FW,MF",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,Newcastle Utd,Georginio Wijnaldum,5,NED,LM,90,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,,,,,,
5,Newcastle Utd,Cheick Tioté,24,CIV,CM,19,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,,,,,,
6,Newcastle Utd,Florian Thauvin,20,FRA,"FW,MF",71,0,0,0,0,2,0,0,0,0,3,0,10,2,1,0,,,,,,
7,Newcastle Utd,Vurnon Anita,8,CUW,CM,90,0,0,0,0,0,0,1,0,1,1,0,0,4,9,0,,,,,,
8,Newcastle Utd,Moussa Sissoko,7,FRA,RM,90,0,0,0,0,2,0,1,0,1,2,0,2,3,0,0,,,,,,
9,Newcastle Utd,Paul Dummett,3,WAL,LB,90,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,,,,,,
10,Newcastle Utd,Fabricio Coloccini,2,ARG,CB,90,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,,,,,,
11,Newcastle Utd,Chancel Mbemba,18,COD,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,
12,Newcastle Utd,Daryl Janmaat,22,NED,RB,90,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,,,,,,
13,Newcastle Utd,Rob Elliot,21,IRL,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.0,3.0,4.0,57.1
0,Leicester City,Jamie Vardy,9,ENG,FW,76,1,0,0,0,6,3,0,0,0,0,0,1,0,0,0,,,,,,
1,Leicester City,Andy King,10,WAL,MF,14,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,,,,,,
2,Leicester City,Leonardo Ulloa,23,ARG,FW,72,1,1,0,0,4,1,0,0,0,1,0,1,1,0,0,,,,,,
3,Leicester City,Shinji Okazaki,20,JPN,"FW,MF",18,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
4,Leicester City,Marc Albrighton,11,ENG,LM,90,0,0,0,0,1,0,0,0,0,1,1,8,2,0,0,,,,,,
5,Leicester City,Danny Drinkwater,4,ENG,CM,90,0,0,0,0,2,1,0,0,5,2,0,0,4,2,0,,,,,,
6,Leicester City,N'Golo Kanté,14,FRA,CM,90,0,0,0,0,0,0,0,0,1,0,0,0,8,7,0,,,,,,
7,Leicester City,Riyad Mahrez,26,ALG,RM,88,0,1,0,0,2,0,0,0,2,2,0,3,3,0,0,,,,,,
8,Leicester City,Nathan Dyer,24,ENG,"FW,MF",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
9,Leicester City,Christian Fuchs,28,AUT,LB,90,0,0,0,0,0,0,0,0,1,0,0,8,2,8,0,,,,,,
10,Leicester City,Robert Huth,6,GER,CB,90,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,,,,,,
11,Leicester City,Wes Morgan,5,JAM,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,
12,Leicester City,Danny Simpson,17,ENG,RB,90,0,0,0,0,1,1,0,0,1,1,0,2,2,2,0,,,,,,
13,Leicester City,Kasper Schmeichel,1,DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,
