,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester City,Sergio Agüero,10,ARG,FW,90,0,0,0,0,4,0,0,0,1,4,1,0,0,1,0,,,,,,
1,Manchester City,Raheem Sterling,7,ENG,DM,88,1,0,0,0,3,2,0,0,1,3,0,3,2,2,0,,,,,,
2,Manchester City,Kelechi Iheanacho,72,NGA,"FW,MF",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,
3,Manchester City,David Silva,21,ESP,AM,74,0,1,0,0,1,0,0,0,0,0,0,6,1,1,0,,,,,,
4,Manchester City,Fabian Delph,18,ENG,"DF,MF",16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
5,Manchester City,Jesús Navas,15,ESP,AM,45,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,,,,,,
6,Manchester City,Samir Nasri,8,FRA,"FW,MF",45,0,0,0,0,1,1,0,0,1,1,0,2,2,0,0,,,,,,
7,Manchester City,Fernandinho,25,BRA,DM,90,1,0,0,0,1,1,0,0,1,1,0,0,4,2,0,,,,,,
8,Manchester City,Yaya Touré,42,CIV,AM,90,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,,,,,,
9,Manchester City,Aleksandar Kolarov,11,SRB,CB,90,0,0,0,0,2,0,0,0,0,2,0,6,1,1,0,,,,,,
10,Manchester City,Eliaquim Mangala,20,FRA,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
11,Manchester City,Vincent Kompany,4,BEL,LB,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,,,,,
12,Manchester City,Bacary Sagna,3,FRA,RB,90,0,1,0,0,1,1,0,0,1,0,0,2,1,2,0,,,,,,
13,Manchester City,Joe Hart,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,
0,Watford,Almen Abdi,22,SUI,AM,62,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,,,,,,
1,Watford,Ikechi Anya,21,SCO,"FW,MF",28,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,,,,
2,Watford,José Manuel Jurado,7,ESP,AM,90,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,,,,,,
3,Watford,Odion Ighalo,24,NGA,AM,71,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,,,,,,
4,Watford,Miguel Layún,19,MEX,"DF,MF",19,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,,,,,
5,Watford,Troy Deeney,9,ENG,FW,90,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,,,,
6,Watford,Valon Behrami,11,SUI,DM,90,0,0,0,0,0,0,0,0,2,2,0,0,1,3,0,,,,,,
7,Watford,Étienne Capoue,29,FRA,DM,75,0,0,0,0,1,0,0,0,1,1,0,1,1,4,0,,,,,,
8,Watford,Ben Watson,23,ENG,MF,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
9,Watford,José Holebas,25,GRE,CB,90,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,,,,,,
10,Watford,Craig Cathcart,15,NIR,RB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,,,,,,
11,Watford,Sebastian Prödl,5,AUT,LB,90,0,0,0,0,1,0,1,0,2,0,0,0,3,1,0,,,,,,
12,Watford,Allan Nyom,2,CMR,CB,90,0,0,0,0,0,0,1,0,3,1,0,3,5,5,0,,,,,,
13,Watford,Heurelho Gomes,1,BRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,2.0,3.0,60.0
