,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Everton,Romelu Lukaku,10,BEL,FW,90,0,0,0,0,1,1,0,0,1,0,1,3,1,0,0,,,,,,
1,Everton,Tom Cleverley,15,ENG,AM,90,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,,,,,,
2,Everton,Ross Barkley,20,ENG,AM,72,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,,,,,,
3,Everton,Gerard Deulofeu,19,ESP,"FW,MF",18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,
4,Everton,Aaron Lennon,12,ENG,AM,90,0,0,0,0,1,0,0,0,2,3,0,3,1,1,0,,,,,,
5,Everton,Muhamed Bešić,21,BIH,DM,45,0,0,0,0,1,1,0,0,0,0,0,1,4,1,0,,,,,,
6,Everton,John Stones,5,ENG,DF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,
7,Everton,James McCarthy,16,IRL,DM,90,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,,,,,,
8,Everton,Leighton Baines,3,ENG,LB,90,0,0,0,0,0,0,0,0,0,3,0,9,1,2,0,,,,,,
9,Everton,Ramiro Funes Mori,25,ARG,CB,90,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,,,,,,
10,Everton,Phil Jagielka,6,ENG,CB,90,0,0,0,0,1,0,0,0,1,2,0,0,4,6,0,,,,,,
11,Everton,Séamus Coleman,23,IRL,RB,90,0,0,0,0,1,0,0,0,1,0,0,8,3,1,0,,,,,,
12,Everton,Joel Robles,1,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,2.0,1.0,33.3
0,Arsenal,Danny Welbeck,23,ENG,FW,74,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,
1,Arsenal,Olivier Giroud,12,FRA,FW,16,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,,,,,,
2,Arsenal,Alex Iwobi,17,NGA,AM,85,1,0,0,0,3,2,0,0,2,0,0,0,1,0,0,,,,,,
3,Arsenal,Calum Chambers,21,ENG,"DF,MF",5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,
4,Arsenal,Mesut Özil,11,GER,AM,73,0,0,0,0,2,0,0,0,0,1,2,3,1,0,0,,,,,,
5,Arsenal,Kieran Gibbs,3,ENG,"DF,MF",17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,
6,Arsenal,Alexis Sánchez,7,CHI,AM,90,0,1,0,0,0,0,0,0,1,0,0,3,2,1,0,,,,,,
7,Arsenal,Francis Coquelin,34,FRA,DM,90,0,0,0,0,1,0,0,0,1,1,0,0,2,13,0,,,,,,
8,Arsenal,Mohamed Elneny,35,EGY,DM,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,
9,Arsenal,Nacho Monreal,18,ESP,LB,90,0,0,0,0,0,0,0,0,2,0,0,3,3,4,0,,,,,,
10,Arsenal,Laurent Koscielny,6,FRA,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,,,,
11,Arsenal,Gabriel Paulista,5,BRA,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,,,,,,
12,Arsenal,Héctor Bellerín,24,ESP,RB,90,0,1,0,0,1,0,0,0,1,0,1,3,0,2,0,,,,,,
13,Arsenal,David Ospina,13,COL,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2.0,0.0,2.0,100.0
