,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Crystal Palace,Yannick Bolasie,10,COD,AM,79,0,0,0,0,3,1,0,0,1,1,0,4,0,0,0,,,,,,
1,Crystal Palace,Mile Jedinak,15,AUS,MF,11,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,,,
2,Crystal Palace,Wilfried Zaha,11,CIV,AM,90,0,0,0,0,0,0,0,0,3,2,2,3,6,3,0,,,,,,
3,Crystal Palace,Jason Puncheon,42,ENG,DM,82,0,0,0,0,2,1,0,0,1,2,1,3,1,0,0,,,,,,
4,Crystal Palace,Lee Chung-yong,14,KOR,"FW,MF",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Crystal Palace,Bakary Sako,26,MLI,FW,67,0,0,0,0,1,0,0,0,0,0,1,4,0,2,0,,,,,,
6,Crystal Palace,Dwight Gayle,16,ENG,FW,23,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,,,,,,
7,Crystal Palace,James McArthur,18,SCO,DM,90,0,0,0,0,1,0,0,0,2,4,0,0,2,4,0,,,,,,
8,Crystal Palace,Yohan Cabaye,7,FRA,AM,90,0,0,0,0,1,0,0,0,0,1,0,2,3,5,0,,,,,,
9,Crystal Palace,Pape Souaré,23,SEN,LB,90,0,0,0,0,1,0,0,0,1,0,0,2,2,2,0,,,,,,
10,Crystal Palace,Brede Hangeland,4,NOR,CB,90,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,,,,,,
11,Crystal Palace,Scott Dann,6,ENG,RB,90,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,,,,,,
12,Crystal Palace,Martin Kelly,34,ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,
13,Crystal Palace,Alex McCarthy,12,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.0,1.0,6.0,85.7
0,Manchester City,Sergio Agüero,10,ARG,FW,24,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,,,,
1,Manchester City,Kevin De Bruyne,17,BEL,"FW,MF",66,0,0,0,0,1,1,0,0,2,0,0,3,2,3,0,,,,,,
2,Manchester City,Wilfried Bony,14,CIV,FW,88,0,0,0,0,3,2,0,0,1,3,0,0,1,0,0,,,,,,
3,Manchester City,Kelechi Iheanacho,72,NGA,"FW,MF",2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,
4,Manchester City,Samir Nasri,8,FRA,LM,89,0,0,0,0,3,2,1,0,0,1,0,3,1,0,0,,,,,,
5,Manchester City,Martín Demichelis,26,ARG,"DF,MF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,Manchester City,Fernandinho,25,BRA,CM,90,0,0,0,0,2,0,0,0,0,1,0,0,1,4,0,,,,,,
7,Manchester City,Yaya Touré,42,CIV,RM,90,0,0,0,0,4,1,1,0,3,3,0,1,2,1,0,,,,,,
8,Manchester City,Jesús Navas,15,ESP,CM,90,0,0,0,0,3,0,0,0,0,2,0,7,1,0,0,,,,,,
9,Manchester City,Aleksandar Kolarov,11,SRB,CB,90,0,0,0,0,2,0,0,0,0,1,0,5,3,5,0,,,,,,
10,Manchester City,Eliaquim Mangala,20,FRA,LB,90,0,0,0,0,1,0,1,0,2,1,0,0,2,2,0,,,,,,
11,Manchester City,Vincent Kompany,4,BEL,RB,90,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,,,,,,
12,Manchester City,Bacary Sagna,3,FRA,CB,90,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,,,,,,
13,Manchester City,Joe Hart,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,0.0,2.0,100.0
