,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester Utd,Marcus Rashford,19,ENG,FW,81,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,,,,,,
1,Manchester Utd,Memphis Depay,7,NED,"FW,MF",9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,,,,
2,Manchester Utd,Anthony Martial,11,FRA,AM,90,1,0,0,0,2,1,0,0,2,2,1,4,0,0,0,,,,,,
3,Manchester Utd,Wayne Rooney,10,ENG,AM,90,0,0,0,0,7,2,1,0,2,1,0,2,1,0,0,,,,,,
4,Manchester Utd,Marouane Fellaini,27,BEL,DM,74,0,0,0,0,2,1,0,0,4,0,0,0,1,1,0,,,,,,
5,Manchester Utd,Ander Herrera,21,ESP,MF,16,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,,,,
6,Manchester Utd,Jesse Lingard,14,ENG,AM,61,0,0,0,0,2,2,1,0,1,1,0,2,0,0,0,,,,,,
7,Manchester Utd,Juan Mata,8,ESP,"FW,MF",29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
8,Manchester Utd,Michael Carrick,16,ENG,DM,90,0,0,0,0,0,0,1,0,2,0,0,0,2,3,0,,,,,,
9,Manchester Utd,Marcos Rojo,5,ARG,LB,90,0,0,0,0,1,0,0,0,1,0,0,14,3,0,0,,,,,,
10,Manchester Utd,Daley Blind,17,NED,CB,90,0,0,0,0,0,0,0,0,1,1,0,4,1,4,0,,,,,,
11,Manchester Utd,Chris Smalling,12,ENG,CB,90,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,,,,,,
12,Manchester Utd,Antonio Valencia,25,ECU,RB,90,0,1,0,0,2,0,0,0,2,0,0,9,1,1,0,,,,,,
13,Manchester Utd,David de Gea,1,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,1.0,2.0,66.7
0,Leicester City,Shinji Okazaki,20,JPN,FW,66,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,,,,,,
1,Leicester City,Demarai Gray,22,ENG,"FW,MF",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Leicester City,Leonardo Ulloa,23,ARG,FW,90,0,0,0,0,6,0,0,0,1,4,0,0,1,0,0,,,,,,
3,Leicester City,Jeffrey Schlupp,15,GHA,LM,76,0,0,0,0,1,0,0,0,1,5,0,2,2,3,0,,,,,,
4,Leicester City,Marc Albrighton,11,ENG,"DF,MF",14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
5,Leicester City,N'Golo Kanté,14,FRA,CM,90,0,0,0,0,0,0,0,0,1,1,0,2,4,6,0,,,,,,
6,Leicester City,Danny Drinkwater,4,ENG,CM,85,0,1,0,0,1,0,2,1,3,0,0,1,4,3,0,,,,,,
7,Leicester City,Riyad Mahrez,26,ALG,RM,87,0,0,0,0,1,1,0,0,0,3,0,2,1,1,0,,,,,,
8,Leicester City,Andy King,10,WAL,MF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,Leicester City,Christian Fuchs,28,AUT,LB,90,0,0,0,0,0,0,0,0,1,1,0,7,6,5,0,,,,,,
10,Leicester City,Robert Huth,6,GER,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,,,,,,
11,Leicester City,Wes Morgan,5,JAM,CB,90,1,0,0,0,3,2,0,0,0,0,0,0,1,3,0,,,,,,
12,Leicester City,Danny Simpson,17,ENG,RB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,,,,,,
13,Leicester City,Kasper Schmeichel,1,DEN,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,6.0,1.0,5.0,83.3
