,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Watford,Troy Deeney,9,ENG,FW,90,0,1,0,0,3,0,1,0,0,0,0,1,1,0,0,,,,,,
1,Watford,Odion Ighalo,24,NGA,FW,90,1,0,0,0,2,1,1,0,3,2,2,1,0,1,0,,,,,,
2,Watford,José Manuel Jurado,7,ESP,LM,67,0,0,0,0,1,0,1,0,1,2,0,0,2,3,0,,,,,,
3,Watford,Allan Nyom,2,CMR,"DF,MF",23,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,,,,,,
4,Watford,Ben Watson,23,ENG,CM,90,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,,,,,,
5,Watford,Étienne Capoue,29,FRA,CM,90,0,0,0,0,2,0,0,0,1,3,0,1,2,4,0,,,,,,
6,Watford,Almen Abdi,22,SUI,RM,45,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,,,,,,
7,Watford,Valon Behrami,11,SUI,"DF,MF",45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,
8,Watford,Nathan Aké,16,NED,LB,62,0,0,0,0,0,0,0,1,1,2,0,2,1,8,0,,,,,,
9,Watford,Miguel Britos,3,URU,CB,59,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,,,,,,
10,Watford,Sebastian Prödl,5,AUT,"DF,MF",31,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,,,,
11,Watford,Craig Cathcart,15,NIR,CB,90,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,,,,,,
12,Watford,Ikechi Anya,21,SCO,RB,90,0,0,0,0,0,0,0,0,1,3,0,2,1,4,0,,,,,,
13,Watford,Heurelho Gomes,1,BRA,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,2.0,1.0,33.3
0,Tottenham,Harry Kane,10,ENG,FW,90,0,1,0,0,3,1,0,0,1,1,0,4,1,0,0,,,,,,
1,Tottenham,Dele Alli,20,ENG,AM,80,0,0,0,0,1,0,1,0,2,2,0,0,3,7,0,,,,,,
2,Tottenham,Nacer Chadli,22,BEL,"FW,MF",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
3,Tottenham,Érik Lamela,11,ARG,AM,90,1,0,0,0,2,1,0,0,3,1,1,4,0,2,0,,,,,,
4,Tottenham,Mousa Dembélé,19,BEL,DM,44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,
5,Tottenham,Christian Eriksen,23,DEN,MF,46,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,,,,,
6,Tottenham,Tom Carroll,28,ENG,AM,67,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,,,,,,
7,Tottenham,Son Heung-min,7,KOR,"FW,MF",23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
8,Tottenham,Danny Rose,3,ENG,LB,90,0,0,0,0,0,0,0,0,1,2,0,5,2,2,0,,,,,,
9,Tottenham,Kieran Trippier,16,ENG,RB,90,0,1,0,0,1,0,0,0,1,1,0,9,1,3,0,,,,,,
10,Tottenham,Jan Vertonghen,5,BEL,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,
11,Tottenham,Eric Dier,15,ENG,DM,90,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,,,,,,
12,Tottenham,Toby Alderweireld,4,BEL,CB,90,0,0,0,0,1,0,1,0,1,0,0,0,2,3,0,,,,,,
13,Tottenham,Hugo Lloris,1,FRA,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,1.0,1.0,0.0,0.0
